,frame_id,frame_of_max_peak,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
0,171,181,6,High Risk,720,848,-0.018849356099963188,1.0,644,753,-0.07511754333972931,1.0,571,697,-0.21148239076137543,0.94,669,754,-0.2068706899881363,0.77,637,825,0.12854455411434174,0.98,558,829,0.03592654690146446,0.21,613,805,-0.12105270475149155,0.18,330,842,-0.08708144724369049,0.98,475,1059,-0.11308182775974274,0.75,295,1140,-0.01761716417968273,0.35,358,867,0.0871315747499466,0.98,434,1083,0.07149314880371094,0.22,264,1139,0.0855427160859108,0.1,6,3,6,3,4,1,2,2,2,74.22027910470129,13.519488032379343,89.59551999270997,108.80809885010608,15.00122269535953,24.925633838570462,98.75939074787631,55.40672695318825,41.882741168770266,12.074327837041004,66.73885825509953,2.0884484555677894,171
1,172,181,7,High Risk,720,848,0.02661089226603508,1.0,644,807,-0.08479631692171097,1.0,571,802,-0.17817258834838867,0.92,668,808,-0.11407316476106644,0.75,633,771,0.12503838539123535,0.98,554,758,0.07505187392234802,0.2,615,729,-0.00812587235122919,0.16,333,846,-0.0871552899479866,0.98,478,1063,-0.08895431458950043,0.75,299,1137,0.008511137217283249,0.34,348,857,0.08718111366033554,0.98,432,1069,0.06841455399990082,0.22,265,1126,0.0763048455119133,0.09,7,4,6,3,4,1,2,1,3,73.5650146185072,14.130042279273894,88.59640503828354,109.38424420558081,27.739956851131524,-0.10509689076155837,75.58156718099335,30.775308752855548,12.626367625714572,51.0990705332347,55.333455251882384,3.936724048407122,172
2,173,181,6,High Risk,722,847,-0.02657506801187992,1.0,642,751,-0.06489942967891693,1.0,564,662,-0.2212827354669571,0.92,666,722,-0.2604406774044037,0.73,632,818,0.116378054022789,0.98,568,838,0.008995255455374718,0.2,637,751,-0.14876745641231537,0.16,333,837,-0.08478232473134995,0.98,483,1040,-0.11211243271827698,0.75,323,1138,-0.006658422760665417,0.34,350,864,0.08487424999475479,0.98,420,1078,0.0518559031188488,0.23,255,1132,0.07200735062360764,0.1,6,3,6,3,4,1,2,2,2,74.82945682462545,10.448019040896156,87.57996383417452,108.0043689699358,37.5920851654943,31.632176673825683,101.82522751005091,68.27389333156151,46.66277935502052,6.161840152752091,69.14492785610099,4.33844731479902,173
3,174,181,8,High Risk,727,850,0.0493483692407608,1.0,642,831,-0.10703407227993011,1.0,614,927,-0.0801178589463234,0.91,677,933,0.13071472942829132,0.69,629,744,0.11112511157989502,0.98,569,680,0.2173468917608261,0.21,630,705,0.34174519777297974,0.15,339,852,-0.08489436656236649,0.97,492,1045,-0.056013092398643494,0.73,318,1130,0.05278512090444565,0.33,340,849,0.08494345843791962,0.97,417,1052,0.05515334755182266,0.23,253,1119,0.072835773229599,0.1,8,5,6,3,4,1,2,1,4,75.32888506630003,7.1106422692192695,82.42072902890968,108.58025729885702,15.844916737277146,7.048601452515186,94.66058868008756,90.39554814478666,77.08193726739876,73.61012827934455,72.86934442174422,70.53078059353406,174
4,175,181,8,High Risk,727,850,0.031447891145944595,1.0,641,821,-0.10909201204776764,1.0,605,858,-0.14500780403614044,0.9,672,892,-0.06333867460489273,0.68,624,753,0.1105068176984787,0.98,560,750,0.08397204428911209,0.19,616,750,-0.03455270454287529,0.14,339,851,-0.08466759324073792,0.97,512,1046,-0.06870121508836746,0.71,341,1144,0.033386245369911194,0.32,337,850,0.08469001203775406,0.97,419,1056,0.0612526498734951,0.22,267,1122,0.07605112344026566,0.1,8,5,6,3,4,1,2,2,3,74.95926598196863,8.19139700848848,80.1585131499217,104.1603192045725,36.61673726332694,137.80392438368276,26.132097110658016,78.21722317452206,54.14575899437352,43.69829017589731,58.96304449294446,61.41716002898974,175
5,176,181,6,High Risk,727,850,-0.042390529066324234,1.0,639,753,-0.07997598499059677,1.0,552,654,-0.2487078607082367,0.91,628,743,-0.3541397750377655,0.69,627,844,0.11206170171499252,0.98,557,904,0.012588472105562687,0.19,581,898,-0.1720082014799118,0.14,339,836,-0.08468805253505707,0.97,502,1035,-0.1339164674282074,0.71,339,1142,0.006055212114006281,0.32,343,866,0.08472102135419846,0.97,412,1089,0.024747973307967186,0.23,252,1138,0.06869830191135406,0.1,6,3,6,3,4,1,2,2,2,76.47928042088284,3.105285587671318,86.4009119632323,110.40554797623032,27.708996043502367,27.523296294987517,116.65797352112757,86.25021266796331,11.095735916700495,32.747910942412965,67.19710672252285,8.361544382077383,176
6,177,181,6,High Risk,729,851,-0.030171075835824013,1.0,639,741,-0.08124478906393051,1.0,536,633,-0.216718852519989,0.9,493,637,-0.28458115458488464,0.67,632,860,0.122921422123909,0.98,556,934,0.027629584074020386,0.19,568,936,-0.173843652009964,0.13,339,832,-0.08517324924468994,0.96,501,1035,-0.1382552832365036,0.7,332,1129,0.008279968053102493,0.31,346,869,0.08524057269096375,0.97,405,1099,0.011850240640342236,0.24,233,1137,0.044271569699048996,0.1,6,3,6,3,4,1,2,2,2,76.87074177369233,3.0689981535588657,92.14574382704868,116.27234404429481,24.327455843979777,16.35807535597411,123.70885759320866,153.62632907380345,2.1065297746674703,41.63631818175899,57.365325909261216,14.819493322128183,177
7,178,181,6,High Risk,732,850,-0.034117139875888824,1.0,639,745,-0.10607605427503586,1.0,524,640,-0.20778420567512512,0.9,403,609,-0.2615107297897339,0.67,633,854,0.14030352234840393,0.98,555,933,0.03698667138814926,0.18,563,937,-0.13951222598552704,0.12,340,833,-0.09098474681377411,0.96,483,1040,-0.14339153468608856,0.69,328,1125,0.030628642067313194,0.29,347,869,0.09115695208311081,0.97,395,1101,0.026352999731898308,0.25,216,1132,0.052848778665065765,0.1,6,3,6,3,4,1,2,2,2,77.03669884295753,1.9685705302620846,94.20940252084365,118.78880928874419,28.264855676426805,3.546496887874383,122.83182289760619,171.79541800368392,1.4897623169487662,39.749275975092765,44.25537637911018,15.123922495988527,178
8,179,181,8,High Risk,732,849,-0.05661093071103096,1.0,639,736,-0.09252355992794037,1.0,526,629,-0.17736050486564636,0.91,386,583,-0.25653761625289917,0.69,631,865,0.13891281187534332,0.98,554,966,0.03733474388718605,0.18,566,983,-0.1535940021276474,0.14,345,825,-0.09051382541656494,0.96,498,1039,-0.1629011332988739,0.68,326,1125,0.01819266565144062,0.29,355,874,0.09066018462181091,0.97,391,1118,0.01319747045636177,0.28,215,1140,0.05489717796444893,0.11,8,5,6,3,4,1,2,2,3,77.67955093404989,0.9416676850440808,96.02649149523393,120.37154168496386,27.704669547922606,3.8020337999262495,123.1432390190756,170.27824545015238,16.971084848886285,45.789292505623095,48.91569399777281,24.73447466402297,179
9,180,181,7,High Risk,735,848,-0.04174460470676422,1.0,639,738,-0.0804644301533699,1.0,524,632,-0.1796196550130844,0.91,404,596,-0.2890607416629791,0.71,629,866,0.1532740592956543,0.98,542,964,0.10891466587781906,0.18,558,987,-0.043317392468452454,0.14,345,822,-0.09021175652742386,0.96,508,1033,-0.15036426484584808,0.67,326,1137,0.004905689042061567,0.29,355,876,0.0903467983007431,0.97,384,1122,0.0065918536856770515,0.29,210,1140,0.05987105146050453,0.12,7,4,6,3,4,1,1,2,3,78.01514208017277,0.9352640755531354,96.87908095251011,118.85516905603745,37.319775622800364,5.710250536374161,117.4090027121478,166.01841401555612,19.269586610587506,37.00837986976122,46.76874665138736,21.598938350397777,180
