,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,13.665831991791533,14.185383842942406,10.09686603840573,21.97111341199939,115.33167049765565,137.44830975179792,27.229027362908766,17.21890651570513,39.75622356081061,24.000542157484034,0.0,20.817410788597652,2,2,2,1,3,2,4,3,4
1,1,8.761456539564257,18.842612406915634,10.642396436812897,18.11138978881343,119.42160784955892,137.1691321143539,19.080974735969136,13.506061429002756,42.53236494573565,16.875266789978554,0.7917970185898469,17.75026269014387,1,2,2,1,2,2,3,2,3
2,2,8.45760552826922,22.4682137904646,10.035889798495294,21.96913016494615,123.92001670860043,129.1575151162215,19.202862654186788,16.8835176507001,46.8126508956957,18.782045419245378,3.265395710584201,16.75322108947762,2,2,2,1,2,2,3,3,3
3,3,9.655772936430866,22.473597667500307,8.943376468477565,22.16541265940053,134.08510592273055,131.83688993970816,16.8246004974076,11.586738035304222,45.88722782388291,19.676740981809246,4.217354328996009,16.563867615986688,2,2,2,1,2,2,3,3,3
4,4,9.438608974459093,21.696537923078868,12.244776793868303,18.314779747804803,144.38971918344555,137.66643849645348,16.710693464043516,3.890036038318442,41.0265913481835,19.533603811079587,2.08521168924149,16.312597117764547,2,2,2,1,2,2,3,3,3
5,5,10.54641842968697,21.652871740824278,10.667363505881257,16.119649675769786,152.27669320433034,138.79907397635043,17.34869989379561,1.5658263450948766,38.5820577432755,17.975444975804436,5.0250514927085135,18.048416785408442,2,2,2,1,2,2,3,3,3
6,6,17.243548122020275,20.164960063889183,4.763791966473849,6.3808961404561035,163.39796485326212,140.39984109657703,17.014949528219717,1.567905014810151,51.3760218981202,20.10749924925466,4.662952815891629,20.167213715409602,2,2,2,1,3,2,4,3,4
7,7,16.515464821812753,22.57534294066016,8.86488984612558,7.909273497525933,168.28477713880514,137.91038884914022,15.508043788313358,3.4157606814023325,48.06555601080473,20.847093132999703,1.024387506100993,20.97391368995831,2,2,2,1,3,2,4,3,4
8,8,16.9405051461589,25.79994208728398,10.137757704747754,14.069162325477604,169.37293993097876,143.24684359571359,15.673951864320173,8.184004651313671,49.364253994061414,20.443214944352178,2.207733565313717,23.39793635785716,2,2,2,1,3,2,4,3,4
9,9,17.292395325128197,28.750029858135967,9.8490332212058,14.699865848795122,167.0479796693943,143.1390564958543,14.905354591185016,1.8947021905198937,49.33377738541304,19.92600484454306,2.305810643228355,25.04699840038836,2,2,1,1,3,2,4,2,4
10,10,16.929804166604253,30.196983913748088,8.947695813335537,18.250308040521837,167.7618734415474,142.1375487225175,14.976810031576093,9.185041155220432,49.74353142574924,19.985163248075054,7.078165344579546,26.391294196818695,2,2,1,1,3,2,4,2,4
11,11,17.226861177092903,28.882556513312903,9.126764826805323,21.89003168434457,167.88265994819045,139.42231899176923,15.530530768255261,4.254453076873915,44.27138186327534,19.299836989317583,4.885035854885473,27.470965072532636,2,2,2,1,3,2,4,3,4
12,12,16.771857568379577,28.38890128548478,8.456161775153852,25.9433038993239,168.7430335251894,138.10859372438168,15.18610173385764,7.7097661747694985,47.38529186065665,19.589359974301857,6.277241806556589,28.39873345458796,2,2,2,1,3,2,4,3,4
13,13,17.235964085799612,26.76925768239958,12.107154827610048,29.620657033405465,170.8405868911897,139.24627003860437,16.19332444589125,11.250232394721763,51.60250702032246,19.794047585100714,5.112301422979797,28.111798279334717,2,2,2,1,3,2,4,3,4
14,14,19.986328578511465,25.01446197508104,12.10505381380041,30.504949236428274,171.9292587503784,143.50758222207148,12.89866617974107,13.1383330763353,56.775443469742285,21.13982327613448,-0.18855841776920101,29.943727105763752,2,2,1,2,3,2,5,2,4
15,15,20.426550629436182,25.39602794425941,10.91640952718927,32.119082803269656,172.65299868438586,144.54744717003146,11.254309228615938,12.843301527281284,55.42372582858333,21.38977625959629,1.1115856037226592,29.92128205004509,3,2,1,1,3,2,4,4,4
16,16,19.56357519156224,25.9962401816514,11.038716227753502,30.952999435554123,173.84788391909072,143.18513249870807,12.851523422537042,15.205281617655686,55.34986976437541,21.082107750501308,1.2820840968663703,29.48600944082674,2,2,2,1,3,2,4,3,4
17,17,18.910813454232684,26.397917545079913,11.3747927857677,30.29295622512596,173.71104683454524,143.66706596692066,12.904509309123455,11.425941435744875,54.22907199306405,19.56533744655377,0.9112873405169779,29.119752207521277,2,2,1,1,3,2,4,2,4
