,frame_id,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
0,0,4,Medium Risk,352,454,-0.1621437668800354,1.0,207,509,-0.225762739777565,1.0,113,672,-0.21388885378837585,0.99,253,771,-0.1661308854818344,0.97,295,527,0.006802849005907774,1.0,315,646,0.13285937905311584,0.25,359,695,0.16391804814338684,0.23,162,786,-0.05764705687761307,0.99,206,960,0.007428631652146578,0.34,187,1105,0.18521180748939514,0.18,234,783,0.0577680803835392,0.98,261,955,0.13829897344112396,0.19,213,1105,0.2901899218559265,0.12,4,3,4,2,3,1,2,2,2,20.817410788597652,0.0,24.000542157484034,39.75622356081061,17.21890651570513,27.229027362908766,137.44830975179792,115.33167049765565,21.97111341199939,10.09686603840573,14.185383842942406,13.665831991791533,0
1,1,3,Low Risk,351,454,-0.15561939775943756,1.0,204,509,-0.22574739158153534,1.0,112,674,-0.22370846569538116,0.99,242,782,-0.19451530277729034,0.97,299,526,0.019465023651719093,1.0,314,655,0.13264188170433044,0.24,349,726,0.13672201335430145,0.23,191,803,-0.05921128764748573,0.99,189,1024,-0.03665415197610855,0.38,149,1153,0.1279749721288681,0.18,254,808,0.0593763142824173,0.98,243,997,0.1302756667137146,0.21,179,1137,0.2760588228702545,0.13,3,2,3,2,2,1,2,2,1,17.75026269014387,0.7917970185898469,16.875266789978554,42.53236494573565,13.506061429002756,19.080974735969136,137.1691321143539,119.42160784955892,18.11138978881343,10.642396436812897,18.842612406915634,8.761456539564257,1
2,2,3,Low Risk,350,453,-0.16951565444469452,1.0,203,510,-0.26291999220848083,1.0,113,681,-0.2689371407032013,0.99,239,804,-0.2349446415901184,0.97,298,524,0.019876999780535698,1.0,312,653,0.14916223287582397,0.23,358,707,0.1664402037858963,0.24,199,816,-0.06650661677122116,0.99,187,1044,-0.04575237259268761,0.39,154,1177,0.1508830040693283,0.17,262,818,0.06669864058494568,0.98,244,1014,0.13660599291324615,0.22,188,1155,0.299587219953537,0.13,3,3,3,2,2,1,2,2,2,16.75322108947762,3.265395710584201,18.782045419245378,46.8126508956957,16.8835176507001,19.202862654186788,129.1575151162215,123.92001670860043,21.96913016494615,10.035889798495294,22.4682137904646,8.45760552826922,2
3,3,3,Low Risk,347,452,-0.16936717927455902,1.0,202,511,-0.25837990641593933,1.0,113,684,-0.2599211037158966,0.99,230,824,-0.23003529012203217,0.98,296,521,0.01814373768866062,1.0,312,650,0.14614607393741608,0.23,364,706,0.15970247983932495,0.26,203,816,-0.06542240083217621,0.99,182,1028,-0.03379299119114876,0.39,155,1161,0.15890908241271973,0.17,267,815,0.06559880077838898,0.98,244,1006,0.13006962835788727,0.23,191,1147,0.2915070950984955,0.14,3,3,3,2,2,1,2,2,2,16.563867615986688,4.217354328996009,19.676740981809246,45.88722782388291,11.586738035304222,16.8246004974076,131.83688993970816,134.08510592273055,22.16541265940053,8.943376468477565,22.473597667500307,9.655772936430866,3
4,4,3,Low Risk,340,451,-0.17107057571411133,1.0,201,511,-0.25187280774116516,1.0,120,695,-0.24836532771587372,0.99,226,846,-0.2123914361000061,0.98,293,521,0.019612692296504974,1.0,299,652,0.14917708933353424,0.22,347,718,0.16541419923305511,0.27,210,823,-0.06620059907436371,0.99,183,1027,-0.02595110796391964,0.39,158,1151,0.10928951948881149,0.17,269,813,0.06640033423900604,0.98,257,1003,0.13018479943275452,0.23,205,1145,0.25263386964797974,0.13,3,3,3,2,2,1,2,2,2,16.312597117764547,2.08521168924149,19.533603811079587,41.0265913481835,3.890036038318442,16.710693464043516,137.66643849645348,144.38971918344555,18.314779747804803,12.244776793868303,21.696537923078868,9.438608974459093,4
5,5,3,Low Risk,335,450,-0.18803013861179352,0.99,195,511,-0.26780641078948975,1.0,121,704,-0.25899526476860046,0.99,211,865,-0.22840040922164917,0.98,290,520,-0.004864049609750509,1.0,296,652,0.12584812939167023,0.21,346,716,0.14719414710998535,0.26,213,819,-0.06588906049728394,0.99,202,1025,-0.017653465270996094,0.39,181,1167,0.11138267815113068,0.16,270,811,0.06608621776103973,0.98,271,998,0.135064035654068,0.22,231,1141,0.25991421937942505,0.12,3,3,3,2,2,1,2,2,2,18.048416785408442,5.0250514927085135,17.975444975804436,38.5820577432755,1.5658263450948766,17.34869989379561,138.79907397635043,152.27669320433034,16.119649675769786,10.667363505881257,21.652871740824278,10.54641842968697,5
6,6,4,Medium Risk,328,448,-0.2220211923122406,0.99,188,513,-0.28812870383262634,1.0,125,712,-0.28135666251182556,0.99,203,880,-0.2585814893245697,0.98,287,517,-0.02912053093314171,0.99,297,656,0.0686815157532692,0.2,341,730,0.05196452885866165,0.27,219,817,-0.06571205705404282,0.99,208,1037,-0.09002784639596939,0.4,182,1176,0.08786100894212723,0.15,278,810,0.0658925250172615,0.99,282,995,0.12580853700637817,0.22,238,1139,0.28239110112190247,0.11,4,3,4,2,3,1,2,2,2,20.167213715409602,4.662952815891629,20.10749924925466,51.3760218981202,1.567905014810151,17.014949528219717,140.39984109657703,163.39796485326212,6.3808961404561035,4.763791966473849,20.164960063889183,17.243548122020275,6
7,7,4,Medium Risk,322,448,-0.2542438805103302,0.99,189,516,-0.27278897166252136,1.0,135,707,-0.2659953236579895,0.99,199,876,-0.2690674364566803,0.98,287,509,-0.03444748744368553,1.0,298,640,0.09507783502340317,0.2,342,700,0.07226122915744781,0.28,221,815,-0.0652824342250824,0.99,225,1029,-0.0894307866692543,0.4,187,1167,0.03942407667636871,0.14,279,792,0.06549911201000214,0.99,286,983,0.1138191893696785,0.21,248,1134,0.2507449686527252,0.11,4,3,4,2,3,1,2,2,2,20.97391368995831,1.024387506100993,20.847093132999703,48.06555601080473,3.4157606814023325,15.508043788313358,137.91038884914022,168.28477713880514,7.909273497525933,8.86488984612558,22.57534294066016,16.515464821812753,7
8,8,4,Medium Risk,317,447,-0.26091912388801575,0.99,183,519,-0.2865789830684662,1.0,133,711,-0.2782941162586212,0.99,182,891,-0.28263169527053833,0.98,283,501,-0.06028733775019646,1.0,303,625,0.09593121707439423,0.2,351,671,0.13970239460468292,0.3,224,807,-0.06508541852235794,0.99,239,1031,-0.0775546208024025,0.4,190,1165,0.051561810076236725,0.13,283,786,0.06528545171022415,0.99,283,983,0.11047250777482986,0.2,241,1143,0.2305447906255722,0.1,4,3,4,2,3,1,2,2,2,23.39793635785716,2.207733565313717,20.443214944352178,49.364253994061414,8.184004651313671,15.673951864320173,143.24684359571359,169.37293993097876,14.069162325477604,10.137757704747754,25.79994208728398,16.9405051461589,8
9,9,4,Medium Risk,309,447,-0.2708969712257385,1.0,178,528,-0.29780831933021545,1.0,131,718,-0.29653483629226685,0.99,173,898,-0.31438472867012024,0.98,275,503,-0.06477376818656921,1.0,297,629,0.08304060995578766,0.2,344,676,0.12648004293441772,0.32,222,808,-0.06486038118600845,0.99,231,1033,-0.05705992877483368,0.43,189,1175,0.07752539962530136,0.13,280,787,0.06506159156560898,0.99,274,988,0.11216055601835251,0.19,238,1151,0.2462168186903,0.09,4,2,4,2,3,1,1,2,2,25.04699840038836,2.305810643228355,19.92600484454306,49.33377738541304,1.8947021905198937,14.905354591185016,143.1390564958543,167.0479796693943,14.699865848795122,9.8490332212058,28.750029858135967,17.292395325128197,9
10,10,4,Medium Risk,306,447,-0.26357555389404297,1.0,171,526,-0.3001939058303833,1.0,121,715,-0.2937004864215851,0.99,158,896,-0.30816251039505005,0.98,272,501,-0.08123588562011719,1.0,293,622,0.0892857238650322,0.21,361,641,0.1705874353647232,0.36,222,798,-0.06473599374294281,0.99,229,1028,-0.06505357474088669,0.44,190,1170,0.06245625391602516,0.12,281,781,0.06493844091892242,0.99,274,977,0.10273261368274689,0.19,236,1145,0.21855105459690094,0.09,4,2,4,2,3,1,1,2,2,26.391294196818695,7.078165344579546,19.985163248075054,49.74353142574924,9.185041155220432,14.976810031576093,142.1375487225175,167.7618734415474,18.250308040521837,8.947695813335537,30.196983913748088,16.929804166604253,10
11,11,4,Medium Risk,299,443,-0.27198275923728943,1.0,170,523,-0.2957358658313751,1.0,125,713,-0.2885342836380005,0.99,162,899,-0.3136391341686249,0.98,271,498,-0.09376949816942215,1.0,301,609,0.08715725690126419,0.24,379,624,0.1919894963502884,0.39,222,798,-0.06256122887134552,0.99,233,991,-0.018567102029919624,0.41,191,1142,0.09894254803657532,0.11,281,773,0.06274119019508362,0.99,274,960,0.10565528273582458,0.18,238,1119,0.23531994223594666,0.08,4,3,4,2,3,1,2,2,2,27.470965072532636,4.885035854885473,19.299836989317583,44.27138186327534,4.254453076873915,15.530530768255261,139.42231899176923,167.88265994819045,21.89003168434457,9.126764826805323,28.882556513312903,17.226861177092903,11
12,12,4,Medium Risk,295,442,-0.2921702563762665,1.0,166,524,-0.3153441250324249,1.0,125,718,-0.3069635331630707,0.99,162,910,-0.3410869240760803,0.99,268,494,-0.09529779106378555,1.0,305,600,0.09146098047494888,0.27,397,616,0.20259851217269897,0.44,224,798,-0.06572507321834564,0.99,233,988,-0.02543540671467781,0.45,182,1131,0.12389042228460312,0.11,282,772,0.06590758264064789,0.99,271,962,0.14626456797122955,0.19,223,1119,0.2860097587108612,0.08,4,3,4,2,3,1,2,2,2,28.39873345458796,6.277241806556589,19.589359974301857,47.38529186065665,7.7097661747694985,15.18610173385764,138.10859372438168,168.7430335251894,25.9433038993239,8.456161775153852,28.38890128548478,16.771857568379577,12
13,13,4,Medium Risk,293,440,-0.300325483083725,1.0,165,527,-0.31570500135421753,1.0,124,722,-0.304962694644928,0.99,153,907,-0.3286744952201843,0.99,264,496,-0.07939764112234116,1.0,305,605,0.12980931997299194,0.28,390,612,0.2588203251361847,0.48,223,800,-0.07013826817274094,0.99,234,1015,-0.046085525304079056,0.48,174,1134,0.12389945983886719,0.11,283,783,0.07034996151924133,0.99,287,968,0.14986346662044525,0.2,221,1127,0.29176387190818787,0.09,4,3,4,2,3,1,2,2,2,28.111798279334717,5.112301422979797,19.794047585100714,51.60250702032246,11.250232394721763,16.19332444589125,139.24627003860437,170.8405868911897,29.620657033405465,12.107154827610048,26.76925768239958,17.235964085799612,13
14,14,4,Medium Risk,281,437,-0.3345809876918793,1.0,164,525,-0.3270626664161682,1.0,124,721,-0.3101311922073364,0.99,139,901,-0.3360060751438141,0.99,266,492,-0.10870107263326645,1.0,310,592,0.1281498223543167,0.3,394,611,0.25573983788490295,0.51,223,783,-0.07000269740819931,0.99,232,991,-0.07905986905097961,0.5,175,1129,0.10318915545940399,0.11,286,773,0.07019566744565964,0.99,288,962,0.13720008730888367,0.2,229,1116,0.28170257806777954,0.09,4,2,5,2,3,2,1,2,2,29.943727105763752,-0.18855841776920101,21.13982327613448,56.775443469742285,13.1383330763353,12.89866617974107,143.50758222207148,171.9292587503784,30.504949236428274,12.10505381380041,25.01446197508104,19.986328578511465,14
15,15,4,Medium Risk,283,436,-0.3034460246562958,1.0,165,525,-0.315083771944046,1.0,134,726,-0.3022817075252533,0.99,135,898,-0.32722780108451843,0.99,265,491,-0.10346037894487381,1.0,313,590,0.11701790243387222,0.32,396,606,0.24589289724826813,0.55,222,785,-0.06970551609992981,0.99,232,994,-0.06644769012928009,0.51,178,1125,0.09627192467451096,0.11,285,771,0.06987264752388,0.99,287,957,0.13596074283123016,0.2,228,1109,0.2781299650669098,0.08,4,4,4,2,3,1,1,2,3,29.92128205004509,1.1115856037226592,21.38977625959629,55.42372582858333,12.843301527281284,11.254309228615938,144.54744717003146,172.65299868438586,32.119082803269656,10.91640952718927,25.39602794425941,20.426550629436182,15
16,16,4,Medium Risk,286,433,-0.3136158287525177,1.0,164,532,-0.31661203503608704,1.0,128,727,-0.30096152424812317,0.99,134,904,-0.3207893967628479,0.99,264,491,-0.08986345678567886,1.0,311,595,0.1250808835029602,0.34,396,610,0.24707362055778503,0.58,222,788,-0.07039619237184525,0.99,219,997,-0.07277508080005646,0.54,180,1136,0.0873606875538826,0.1,285,773,0.07060068100690842,0.99,294,962,0.1419125497341156,0.2,229,1121,0.2909332513809204,0.08,4,3,4,2,3,1,2,2,2,29.48600944082674,1.2820840968663703,21.082107750501308,55.34986976437541,15.205281617655686,12.851523422537042,143.18513249870807,173.84788391909072,30.952999435554123,11.038716227753502,25.9962401816514,19.56357519156224,16
