,frame_id,frame_of_max_peak,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
0,96,106,9,High Risk,928,413,0.04179048910737038,1.0,972,361,0.007653047330677509,1.0,1013,318,0.08205164968967438,0.56,982,357,0.17022810876369476,0.33,977,455,-0.052999790757894516,1.0,992,515,-0.014037066139280796,0.97,984,558,0.050882551819086075,0.81,1106,402,0.03590788692235947,1.0,1080,409,0.11663828790187836,0.23,1114,482,0.20918254554271698,0.36,1096,448,-0.035936884582042694,1.0,1030,521,-0.02006869949400425,0.85,1019,623,-0.011717931367456913,0.89,9,6,7,3,4,2,2,2,4,81.53599971395519,-23.73713929158731,31.737627173228674,80.65722900837096,23.896039836501018,23.29396356303181,133.27054308847934,81.03908858524663,53.51590509256699,73.0974350150332,81.93558013366122,58.420701274345895,96
1,97,106,9,High Risk,929,413,-2.9820308554917574e-05,1.0,972,362,-0.014871266670525074,1.0,1012,319,0.06716950982809067,0.6,980,357,0.15134097635746002,0.35,977,455,-0.0791546031832695,1.0,990,516,-0.025231072679162025,0.97,982,559,0.05658743530511856,0.81,1102,404,0.036841873079538345,1.0,1048,432,0.10491683334112167,0.23,1085,508,0.18989239633083344,0.36,1095,448,-0.03684753179550171,1.0,1031,523,-0.039406951516866684,0.86,1022,626,-0.03204077109694481,0.9,9,6,7,3,4,2,2,2,4,80.7676258658553,-25.37913676046719,30.41044706281437,81.03233418876081,21.35971306514466,24.803666707700444,135.23434110294318,78.85997417614719,46.50628032924513,72.06014856190677,84.54401058125792,57.91376908031326,97
2,98,106,9,High Risk,928,413,-0.018135206773877144,1.0,971,362,-0.018808601424098015,1.0,1012,318,0.06588183343410492,0.63,979,354,0.15929707884788513,0.38,977,455,-0.0912708267569542,1.0,987,519,-0.05038667097687721,0.98,978,573,0.020245319232344627,0.82,1101,405,0.04018571600317955,1.0,1024,451,0.05693427845835686,0.22,1035,564,0.1097026988863945,0.36,1094,448,-0.04014865309000015,1.0,1037,523,-0.050803378224372864,0.87,1023,627,-0.03514023497700691,0.9,9,6,7,3,4,2,2,2,4,81.1971040368535,-25.449291879510298,24.188802953666936,81.10094048021917,26.723859090806656,23.817976256132596,138.85667181547632,78.50680625946337,51.56325004242221,73.50110927824598,84.22501894603688,50.67867637479844,98
3,99,106,9,High Risk,927,423,-0.024899059906601906,1.0,970,365,-0.020012831315398216,1.0,1011,318,0.06571119278669357,0.65,976,349,0.16022922098636627,0.4,976,455,-0.10273265093564987,1.0,986,520,-0.06468641757965088,0.98,976,575,0.0018117281142622232,0.82,1100,405,0.04069862142205238,1.0,1028,444,0.06710352003574371,0.22,1046,535,0.12989412248134613,0.37,1095,447,-0.0406305231153965,1.0,1041,516,-0.04880339652299881,0.87,1024,620,-0.03213249891996384,0.91,9,6,7,3,4,2,2,2,4,83.35060685708385,-29.997569543833777,25.545845042879932,82.65130837240662,23.15693813935195,26.79795742342543,139.31883483864982,83.93566590987533,54.33601175540966,76.93572603880831,85.88343758914358,51.46607671581517,99
4,100,106,9,High Risk,925,425,-0.03470230847597122,1.0,969,364,-0.023265479132533073,1.0,1010,317,0.06880597770214081,0.67,972,348,0.162159726023674,0.43,976,457,-0.11853376775979996,1.0,983,524,-0.0916905626654625,0.98,966,584,-0.036438699811697006,0.83,1099,405,0.046337760984897614,1.0,1023,447,0.0723298043012619,0.21,1033,547,0.1445588916540146,0.36,1096,447,-0.04626623913645744,1.0,1051,518,-0.06596942245960236,0.88,1038,624,-0.05630357563495636,0.91,9,6,7,3,4,2,2,2,4,84.12362186070662,-31.69488766454151,21.99617881086587,78.96026002613131,17.57894069631803,29.57346266045127,141.73216593679578,90.39662711958903,59.67619354741584,83.10802414169348,87.52883902626452,57.456051751215156,100
5,101,106,9,High Risk,925,426,-0.04631773754954338,1.0,968,365,-0.023553626611828804,1.0,1008,317,0.07105744630098343,0.69,970,348,0.16570432484149933,0.45,977,458,-0.12457793205976486,1.0,982,525,-0.09444466978311539,0.98,964,584,-0.032849155366420746,0.84,1099,405,0.046904224902391434,1.0,1019,460,0.06334936618804932,0.21,1031,568,0.12303128838539124,0.36,1097,447,-0.04686318710446358,1.0,1048,518,-0.05864051729440689,0.89,1040,626,-0.04190044105052948,0.92,9,6,7,3,4,2,2,2,4,84.44696094210259,-32.720213193551814,23.472235247880946,70.7191169210162,16.62962611066112,25.37606627362547,140.41038923186377,94.97744531994721,59.29904981068952,82.67845740940919,86.96244404987908,62.35180237484249,101
6,102,106,9,High Risk,925,427,-0.04411161318421364,1.0,968,366,-0.01889631897211075,1.0,1005,317,0.08331852406263351,0.7,966,348,0.17474831640720367,0.48,977,458,-0.12061171233654022,1.0,981,526,-0.08668573945760727,0.98,962,583,-0.030341191217303276,0.85,1098,406,0.04785066843032837,1.0,1024,460,0.0673353523015976,0.2,1038,564,0.1299997717142105,0.37,1097,448,-0.04784310981631279,1.0,1046,519,-0.0510588102042675,0.89,1040,626,-0.031094271689653397,0.92,9,6,7,3,4,2,2,2,4,84.60232402131021,-32.72619962012317,23.03315275596009,71.17339386842546,16.72919580615482,26.254683327543177,139.6718619781567,101.31577195736926,59.590934606793475,83.49781599413888,90.32100014398388,88.60619608016523,102
7,103,106,9,High Risk,925,431,-0.07406570762395859,1.0,966,366,-0.03366648405790329,1.0,1003,317,0.08124078810214996,0.71,964,348,0.16751816868782043,0.51,977,459,-0.13737140595912933,1.0,982,527,-0.10735446959733963,0.98,964,585,-0.047233667224645615,0.86,1097,406,0.04784728214144707,1.0,1019,466,0.067279152572155,0.2,1034,573,0.13313475251197815,0.37,1096,448,-0.047832291573286057,1.0,1041,519,-0.05300159007310867,0.9,1041,626,-0.028256675228476524,0.93,9,6,7,3,4,2,2,2,4,84.3548553684351,-34.31365469753558,26.991356313162186,68.96350160282972,21.07373671443031,25.90321022329948,143.82756770725697,108.31205614135223,59.550373596569365,85.00749008887524,87.23224188379395,77.9476734463972,103
8,104,106,9,High Risk,926,435,-0.08095117658376694,1.0,965,367,-0.03286979719996452,1.0,1000,317,0.07708439975976944,0.71,964,349,0.1706758439540863,0.52,978,459,-0.1408737748861313,1.0,981,527,-0.11512311547994614,0.98,963,585,-0.053838010877370834,0.87,1092,407,0.04800679534673691,1.0,1016,471,0.048497769981622696,0.2,1034,578,0.10322186350822449,0.37,1095,448,-0.04799417778849602,1.0,1040,520,-0.05201904848217964,0.9,1041,627,-0.025830784812569618,0.93,9,6,7,3,4,2,2,2,4,84.3220208417761,-33.09411046605223,28.6675302652188,68.18340255842116,20.160115747319736,21.041781838347077,144.64212970239154,112.89029368889632,62.36103109133485,86.79599308469443,84.57355566754056,72.94111796305891,104
9,105,106,9,High Risk,926,432,-0.09736340492963791,1.0,965,367,-0.03859161213040352,1.0,996,318,0.07523638755083084,0.7,961,350,0.17219363152980804,0.53,978,459,-0.14631254971027374,1.0,981,527,-0.11538538336753845,0.99,962,583,-0.054332707077264786,0.88,1086,409,0.04774750396609306,1.0,1014,481,0.02998567931354046,0.2,1034,587,0.07712224870920181,0.38,1095,448,-0.04772933945059776,1.0,1039,522,-0.059533439576625824,0.9,1041,627,-0.03350887820124626,0.93,9,6,7,3,4,2,2,2,4,84.18435530754275,-36.06937860351397,28.26404001684253,64.37029259617903,20.093334770396552,23.713414849939824,146.46669777721127,115.14128701954712,65.5547391778748,89.63050246788954,83.82543610392631,73.01024896095659,105
