,frame_id,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
0,0,6,Medium Risk,1023,273,0.23769603669643402,0.89,1089,283,0.24883760511875153,0.99,1079,257,0.31436267495155334,0.06,1074,235,0.33635199069976807,0.16,1081,253,0.11783984303474426,1.0,1110,172,0.10146842151880264,0.67,1128,123,0.17250224947929382,0.62,1078,421,0.04560213163495064,1.0,1059,531,0.005589580163359642,0.55,1068,640,-0.032232992351055145,0.32,1065,402,-0.04573247954249382,1.0,1032,518,-0.0712963417172432,0.76,1046,650,-0.10202550888061523,0.49,6,8,2,1,3,1,2,2,5,34.12153656250448,0.0,19.64350400416808,29.900204742174168,18.01053357462456,10.924858816335359,161.14302539179593,157.325731355673,153.97850380029863,165.96848797070126,163.74163989515193,163.38024706038038,0
1,1,6,Medium Risk,1055,257,0.006388378329575062,0.9,1083,287,0.10449524223804474,0.99,1038,330,0.14926354587078094,0.06,999,343,0.12314248830080032,0.16,1112,253,-0.032433755695819855,1.0,1136,175,-0.0895102322101593,0.7,1125,137,-0.06580313295125961,0.64,1076,421,0.045686349272727966,1.0,1047,508,0.0425596721470356,0.55,1067,632,0.06416892260313034,0.34,1084,409,-0.04581110551953316,1.0,1034,516,-0.07129622995853424,0.77,1051,646,-0.057652123272418976,0.53,6,8,2,1,2,1,2,2,5,15.284012651161321,3.302178169759671,20.495285111401756,23.85479631368395,41.76824188507254,-0.08183989267220682,141.06185007252168,134.43562244304186,135.11336049442565,165.29559901181997,57.33184261878436,51.28560645182491,1
2,2,3,Low Risk,1022,272,0.015886398032307625,0.91,1071,292,0.10922087728977203,0.99,1050,339,0.15470610558986664,0.06,1006,354,0.16520163416862488,0.15,1078,275,-0.06732606142759323,1.0,1075,307,-0.15784671902656555,0.71,1030,323,-0.2149321436882019,0.64,1060,428,0.05787700414657593,1.0,1035,513,0.10590752959251404,0.55,1066,630,0.16043366491794586,0.37,1061,425,-0.05805867910385132,1.0,1025,519,-0.013068821281194687,0.79,1050,646,0.02458975650370121,0.58,3,4,2,1,2,1,1,2,3,8.950111900396887,6.3905954243419245,20.879547414880562,28.985776730879337,13.812425589544489,9.047804841192715,137.25582384471898,133.89899661869185,41.72031394812803,17.363319497465877,44.2111826144321,22.173593722838362,2
3,3,4,Medium Risk,997,285,0.04603105038404465,0.91,1057,302,0.11106883734464645,0.99,1049,358,0.1590258777141571,0.07,1005,382,0.17914266884326935,0.14,1039,294,-0.06552228331565857,1.0,1029,355,-0.12563186883926392,0.74,984,382,-0.1529768407344818,0.67,1055,430,0.06101701408624649,1.0,1038,518,0.10237500071525574,0.52,1071,623,0.15568681061267853,0.37,1045,436,-0.06115565076470375,1.0,1021,537,-0.025576356798410416,0.81,1046,654,-0.01509248185902834,0.61,4,2,4,2,2,2,1,2,2,7.858237800262504,-3.1700786495610345,19.543439737984812,30.575886853345622,9.82215544295667,7.497253766049283,130.43172286244223,126.52243114576743,22.13422062837314,8.99917798815888,34.78906964225032,10.697633570859004,3
4,4,4,Medium Risk,987,289,0.0065429904498159885,0.92,1041,308,0.09429236501455307,0.99,1050,368,0.16716806590557098,0.07,1008,386,0.21123704314231873,0.13,1030,295,-0.08361165970563889,1.0,1029,365,-0.1446974277496338,0.76,989,384,-0.18198387324810028,0.7,1053,438,0.06023762747645378,1.0,1038,515,0.11104884743690491,0.49,1071,604,0.17892809212207794,0.36,1043,443,-0.060315072536468506,1.0,1018,536,-0.028423471376299858,0.82,1044,654,-0.005086848977953196,0.65,4,2,4,2,2,2,1,2,2,5.529106707017479,-5.2479447888329815,21.29420069306221,30.63769107795926,3.195809718647297,4.201079677171236,126.12233183650545,110.64411484892106,24.496825924480266,7.7107623109168895,38.23660978957593,7.705867688364588,4
5,5,4,Medium Risk,989,288,0.04870714992284775,0.93,1047,305,0.12519897520542145,0.99,1052,362,0.16351599991321564,0.07,1014,383,0.15981937944889069,0.12,1018,298,-0.06492291390895844,1.0,1022,365,-0.10527133196592331,0.78,981,385,-0.10850604623556137,0.72,1057,436,0.06348229199647903,1.0,1033,517,0.09408801048994064,0.46,1071,595,0.1350233256816864,0.36,1044,438,-0.06351711601018906,1.0,1015,536,-0.0768531858921051,0.83,1044,654,-0.10147832334041595,0.68,4,2,4,2,2,2,1,2,2,10.537432693940156,-9.327645709851353,19.636607086639685,36.54770374658068,-1.0425250836475755,-0.5472407410796052,126.97147353831625,107.3221471700083,20.413291092638136,10.100615016841672,29.543135212045392,9.063087493048469,5
6,6,4,Medium Risk,990,293,0.05733601003885269,0.94,1044,305,0.1314033418893814,0.99,1045,367,0.1713867485523224,0.06,1009,387,0.1783635914325714,0.11,1025,297,-0.05310819670557976,1.0,1021,364,-0.09945913404226303,0.8,975,383,-0.11459459364414215,0.75,1059,435,0.061675410717725754,1.0,1031,514,0.08169934898614883,0.44,1077,586,0.11293946206569672,0.35,1047,436,-0.06170395761728287,1.0,1016,535,-0.08632667362689972,0.85,1045,652,-0.12204946577548981,0.71,4,2,4,2,2,2,1,2,2,13.372448910973603,-10.70651452795947,18.446302646393605,40.88164247400448,1.9012082560951455,1.4291063508125603,133.4771839272508,105.64104103893231,24.80359053836913,15.831950744834097,27.623925678868286,10.46722509257601,6
7,7,4,Medium Risk,988,291,0.05298979952931404,0.94,1042,305,0.12612198293209076,0.99,1044,368,0.17570893466472626,0.06,1006,385,0.19610926508903503,0.1,1025,295,-0.05625571310520172,1.0,1022,367,-0.08205290138721466,0.82,981,383,-0.08034630864858627,0.77,1057,435,0.0604591965675354,1.0,1014,512,0.0623590312898159,0.44,1077,577,0.09415826201438904,0.35,1048,436,-0.060498252511024475,1.0,1017,536,-0.10172060877084732,0.86,1046,652,-0.14997510612010956,0.74,4,2,4,2,2,2,1,2,2,13.028993307364384,-12.144731433964338,20.246809039465802,56.0376847398598,5.494077626273224,-1.4838103335042092,130.67672237298117,102.7643250621573,15.370936636944455,16.109613955702912,28.26162848147443,11.421486790366517,7
8,8,4,Medium Risk,985,291,0.054959092289209366,0.95,1043,305,0.12314629554748535,0.99,1051,367,0.1767992228269577,0.06,1018,391,0.1991453766822815,0.1,1022,295,-0.05872156098484993,1.0,1021,370,-0.08852141350507736,0.83,980,388,-0.08573270589113235,0.79,1058,436,0.06038646399974823,1.0,1007,512,0.05972139537334442,0.43,1077,571,0.09293600171804428,0.36,1047,437,-0.060400474816560745,1.0,1017,536,-0.10969951003789902,0.87,1048,652,-0.15498335659503937,0.76,4,2,5,3,2,2,1,2,2,13.077886355909445,-11.626902155332886,22.276809978532555,65.8963254615717,-4.124619492232625,5.804346798661811,130.76621422814205,110.61497554994423,15.918695672316334,14.924030611046035,30.187202140575433,14.48758263850119,8
9,9,4,Medium Risk,988,291,0.027743080630898476,0.95,1041,304,0.10784981399774551,0.99,1051,368,0.1720653474330902,0.06,1017,388,0.20666536688804626,0.09,1023,296,-0.07324382662773132,1.0,1019,372,-0.10943619906902313,0.85,974,385,-0.1122303232550621,0.8,1056,437,0.05999423936009407,1.0,1006,513,0.03731062263250351,0.42,1058,592,0.05665192753076553,0.37,1047,439,-0.0600321963429451,1.0,1015,536,-0.10268867015838623,0.87,1074,626,-0.11763108521699905,0.78,4,2,5,3,2,2,1,2,2,10.866131205510356,-8.031118883956438,36.924422872612496,62.06948572107554,-2.888878646393522,6.310121942506896,126.29174999952389,108.97013050838466,17.433697478398862,17.047805111222175,34.21202864207933,13.316387287784957,9
