,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,19.967565907066962,8.408631878699593,10.36675778425244,9.013982963260226,150.82954416555123,141.14255902108283,-3.152915817267939,2.7854736681762517,48.59689577567576,25.679180819152435,0.0,26.487455732563287,1,2,1,1,3,2,4,1,3
1,1,25.266422904727847,8.75621783986946,13.306251858756836,9.008059217252253,154.84823979842227,142.16896131507048,-2.9476876170462276,2.9393552014423108,48.758551326257304,24.005904333814414,-1.866095335278061,28.93821223205015,2,2,1,2,3,2,5,2,4
2,2,27.447374113649687,8.010494886429301,14.030042268203767,9.717415535078208,155.29243068410108,142.3627713324646,-3.218935633720804,2.822093478803623,54.159922628136655,25.66897752621935,-2.0909770299780064,29.38200177566716,2,2,1,2,3,2,5,2,4
3,3,30.38150332102163,9.723081944848618,13.646160541857789,10.034983613334857,156.48523482346752,141.71251904473925,-2.835285794256521,3.3621575528193546,53.772235925165745,27.19665081806437,-3.7197979924413858,30.79497669993912,2,2,1,2,3,2,5,2,4
4,4,29.90849829958691,9.095135162539124,13.762686674052976,11.135923280211626,155.9964195627475,141.7376253200831,-2.0941887337157254,3.385448096057786,52.77173275966109,25.859728210933184,-4.18265380095184,30.791980070087565,2,2,1,2,3,2,5,2,4
5,5,30.71476820961053,9.74217962715212,13.403232098234863,11.677033847024836,157.2061861595176,141.39826509770873,-2.1354570779088817,3.891221667714717,51.5786513247584,25.826769937148896,-4.7479092856993645,31.1839877945098,2,2,1,2,3,2,5,2,4
6,6,30.557304350846653,9.303199649523522,13.528871197148487,12.581051339037579,159.121614844587,141.75759563421462,-3.068190620879676,3.3819008729969084,48.81337712067989,26.59304715745239,-4.447887407017049,30.99684879521465,2,2,1,2,3,2,5,2,4
7,7,29.8849987544033,9.136463666022129,13.626435006306416,14.137848254220385,157.873079808489,142.34702432373246,-3.654324112409597,2.7545592045795786,49.542321810815906,29.55785135766311,-4.24417443464182,30.949988849314316,2,2,1,2,3,2,5,2,4
8,8,29.535101142406447,9.05505149061349,13.616857545303667,14.358014208272005,157.38272968456138,142.90389441357306,-3.8199789794697665,2.590977532283091,50.40897188950487,29.74610734427523,-4.169706518196932,30.912361654549173,2,2,1,2,3,2,5,2,4
9,9,29.456404449768737,9.021602891085761,13.299830070033646,14.270525726509026,157.74594991507976,143.3675956187314,-3.6076884225517745,2.3965149709218565,48.39200231172666,29.740698277607834,-3.9832118888926686,30.81469361257745,2,2,1,2,3,2,5,2,4
