,frame_id,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
0,0,3,Low Risk,1829,439,-0.4299705922603607,1.0,1621,636,-0.2389400750398636,1.0,1569,928,-0.19461502134799957,1.0,1538,1140,-0.2751087248325348,0.99,1974,649,-0.18405933678150177,1.0,2010,935,-0.11220963299274445,0.85,2038,1155,-0.1959058940410614,0.81,1670,1128,-0.021098636090755463,1.0,1700,1500,-0.015738803893327713,0.99,1739,1756,0.2537843883037567,0.92,1864,1134,0.021184032782912254,1.0,1831,1495,0.06836998462677002,0.92,1766,1766,0.33391258120536804,0.95,3,1,4,2,3,1,1,2,1,26.487455732563287,0.0,25.679180819152435,48.59689577567576,2.7854736681762517,-3.152915817267939,141.14255902108283,150.82954416555123,9.013982963260226,10.36675778425244,8.408631878699593,19.967565907066962,0
1,1,4,Medium Risk,1829,439,-0.4948617219924927,1.0,1620,637,-0.2901327311992645,1.0,1566,928,-0.2549706995487213,1.0,1538,1151,-0.32944387197494507,0.99,1973,649,-0.22726616263389587,1.0,2010,932,-0.1558919996023178,0.86,2036,1148,-0.24048839509487152,0.82,1665,1125,-0.02138226293027401,1.0,1695,1499,-0.014513748697936535,0.99,1741,1754,0.2528828978538513,0.92,1864,1128,0.021462084725499153,1.0,1831,1495,0.04035836458206177,0.92,1758,1766,0.2749851644039154,0.95,4,2,5,2,3,2,1,2,2,28.93821223205015,-1.866095335278061,24.005904333814414,48.758551326257304,2.9393552014423108,-2.9476876170462276,142.16896131507048,154.84823979842227,9.008059217252253,13.306251858756836,8.75621783986946,25.266422904727847,1
2,2,4,Medium Risk,1828,439,-0.4953444302082062,1.0,1614,639,-0.2925494313240051,1.0,1563,931,-0.2633257806301117,0.99,1538,1163,-0.34589916467666626,0.98,1970,648,-0.22530211508274078,1.0,2008,927,-0.1545793116092682,0.86,2035,1141,-0.2428915798664093,0.82,1663,1123,-0.022044094279408455,1.0,1691,1494,-0.03941483795642853,0.99,1743,1748,0.24768254160881042,0.91,1864,1123,0.022120246663689613,1.0,1832,1493,0.02877131476998329,0.92,1751,1766,0.2727412283420563,0.95,4,2,5,2,3,2,1,2,2,29.38200177566716,-2.0909770299780064,25.66897752621935,54.159922628136655,2.822093478803623,-3.218935633720804,142.3627713324646,155.29243068410108,9.717415535078208,14.030042268203767,8.010494886429301,27.447374113649687,2
3,3,4,Medium Risk,1827,439,-0.5028645992279053,1.0,1608,643,-0.3085425794124603,1.0,1554,939,-0.2796381413936615,0.99,1531,1178,-0.35451796650886536,0.98,1965,647,-0.2320423424243927,1.0,2006,922,-0.15430468320846558,0.87,2032,1133,-0.23415717482566833,0.83,1658,1122,-0.02364593930542469,1.0,1683,1494,-0.03896176815032959,0.99,1734,1748,0.24764980375766754,0.91,1859,1122,0.02372240088880062,1.0,1827,1493,0.039234746247529984,0.92,1748,1767,0.2812432646751404,0.95,4,2,5,2,3,2,1,2,2,30.79497669993912,-3.7197979924413858,27.19665081806437,53.772235925165745,3.3621575528193546,-2.835285794256521,141.71251904473925,156.48523482346752,10.034983613334857,13.646160541857789,9.723081944848618,30.38150332102163,3
4,4,4,Medium Risk,1825,439,-0.5016927719116211,1.0,1601,645,-0.30414772033691406,1.0,1547,941,-0.27396443486213684,0.99,1522,1181,-0.3457929193973541,0.98,1958,647,-0.22592654824256897,1.0,2001,921,-0.14792266488075256,0.87,2032,1130,-0.22846359014511108,0.84,1651,1122,-0.024953903630375862,1.0,1678,1492,-0.032348427921533585,0.98,1735,1749,0.24476806819438934,0.91,1853,1120,0.025019459426403046,1.0,1825,1488,0.018182558938860893,0.92,1749,1771,0.24533942341804504,0.95,4,2,5,2,3,2,1,2,2,30.791980070087565,-4.18265380095184,25.859728210933184,52.77173275966109,3.385448096057786,-2.0941887337157254,141.7376253200831,155.9964195627475,11.135923280211626,13.762686674052976,9.095135162539124,29.90849829958691,4
5,5,4,Medium Risk,1818,439,-0.4961157739162445,1.0,1594,646,-0.30739888548851013,1.0,1539,944,-0.2768554389476776,0.99,1511,1195,-0.34639567136764526,0.98,1953,647,-0.2269042432308197,1.0,1999,921,-0.14756883680820465,0.88,2032,1129,-0.22529776394367218,0.84,1647,1122,-0.02512388303875923,1.0,1673,1494,-0.022343242540955544,0.98,1722,1749,0.25121238827705383,0.91,1847,1120,0.025185860693454742,1.0,1821,1489,0.05017121136188507,0.92,1749,1771,0.3006487190723419,0.95,4,2,5,2,3,2,1,2,2,31.1839877945098,-4.7479092856993645,25.826769937148896,51.5786513247584,3.891221667714717,-2.1354570779088817,141.39826509770873,157.2061861595176,11.677033847024836,13.403232098234863,9.74217962715212,30.71476820961053,5
6,6,4,Medium Risk,1809,440,-0.4926307499408722,1.0,1587,646,-0.2961699366569519,1.0,1531,942,-0.26079851388931274,0.99,1503,1189,-0.34130895137786865,0.98,1946,647,-0.22403335571289062,1.0,1993,921,-0.14509275555610657,0.88,2032,1129,-0.22373412549495697,0.85,1641,1122,-0.023916296660900116,1.0,1667,1492,-0.016523929312825203,0.98,1717,1748,0.24231234192848206,0.91,1841,1119,0.023953258991241455,1.0,1816,1486,0.008839565329253674,0.93,1749,1774,0.22892840206623077,0.95,4,2,5,2,3,2,1,2,2,30.99684879521465,-4.447887407017049,26.59304715745239,48.81337712067989,3.3819008729969084,-3.068190620879676,141.75759563421462,159.121614844587,12.581051339037579,13.528871197148487,9.303199649523522,30.557304350846653,6
7,7,4,Medium Risk,1801,440,-0.4995664060115814,1.0,1578,647,-0.29997125267982483,1.0,1519,942,-0.26191455125808716,0.99,1495,1186,-0.33584028482437134,0.98,1940,647,-0.22551746666431427,1.0,1988,920,-0.14343751966953278,0.89,2032,1129,-0.21626105904579163,0.86,1632,1122,-0.02351638861000538,1.0,1663,1492,-0.02411598712205887,0.98,1711,1747,0.2547856867313385,0.91,1834,1117,0.023542262613773346,1.0,1811,1486,0.013532768003642559,0.93,1747,1774,0.26384931802749634,0.95,4,2,5,2,3,2,1,2,2,30.949988849314316,-4.24417443464182,29.55785135766311,49.542321810815906,2.7545592045795786,-3.654324112409597,142.34702432373246,157.873079808489,14.137848254220385,13.626435006306416,9.136463666022129,29.8849987544033,7
8,8,4,Medium Risk,1794,440,-0.4924273192882538,1.0,1572,648,-0.2964078485965729,1.0,1515,943,-0.25765690207481384,0.99,1488,1185,-0.3347071409225464,0.98,1934,646,-0.22299888730049133,1.0,1983,920,-0.14066927134990692,0.89,2030,1127,-0.209262415766716,0.87,1628,1122,-0.022659292444586754,1.0,1658,1493,-0.023773252964019775,0.98,1707,1740,0.2601966857910156,0.91,1830,1117,0.022687889635562897,1.0,1806,1485,0.01389340404421091,0.93,1741,1774,0.2639126181602478,0.95,4,2,5,2,3,2,1,2,2,30.912361654549173,-4.169706518196932,29.74610734427523,50.40897188950487,2.590977532283091,-3.8199789794697665,142.90389441357306,157.38272968456138,14.358014208272005,13.616857545303667,9.05505149061349,29.535101142406447,8
9,9,4,Medium Risk,1788,440,-0.4905454218387604,1.0,1563,649,-0.2938307523727417,1.0,1510,943,-0.25590819120407104,0.99,1482,1184,-0.3307771384716034,0.98,1924,646,-0.22284561395645142,1.0,1972,919,-0.134212926030159,0.9,2023,1123,-0.19981902837753296,0.87,1623,1124,-0.021789221093058586,1.0,1657,1495,-0.011891651898622513,0.97,1705,1740,0.2638336718082428,0.9,1823,1117,0.02181808091700077,1.0,1798,1485,0.013830767013132572,0.93,1741,1775,0.2622091770172119,0.95,4,2,5,2,3,2,1,2,2,30.81469361257745,-3.9832118888926686,29.740698277607834,48.39200231172666,2.3965149709218565,-3.6076884225517745,143.3675956187314,157.74594991507976,14.270525726509026,13.299830070033646,9.021602891085761,29.456404449768737,9
10,10,4,Medium Risk,1782,442,-0.46380922198295593,1.0,1555,649,-0.2788626253604889,1.0,1500,944,-0.24473612010478973,0.99,1471,1185,-0.3293711841106415,0.98,1913,645,-0.2044566124677658,1.0,1965,917,-0.12417967617511749,0.9,2017,1119,-0.20224544405937195,0.88,1618,1125,-0.021558601409196854,1.0,1652,1497,-0.012154629454016685,0.97,1692,1739,0.2764837145805359,0.9,1817,1117,0.021580783650279045,1.0,1796,1487,0.04447530210018158,0.93,1740,1774,0.3110519349575043,0.95,4,2,5,2,3,2,1,2,2,30.399105258362827,-3.8005481584451104,29.842354765383163,49.57331886414303,2.3066659391879227,-2.700399994849306,142.71116263564903,158.0312414396359,14.63264990873211,12.819450874933247,9.811672182186182,29.183949262621613,10
