,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,22.5215322502668,5.510978857319462,10.237230694364104,9.764920037427853,154.47095154239943,142.49963071289642,-1.5282231131358799,3.527271058570733,46.70625153500944,24.264200298945667,0.0,28.89350036178091,2,2,1,1,3,2,4,2,4
1,1,21.653468059181534,7.04914027355787,7.770999922470927,10.149410538876294,151.27776599114304,137.70316424329354,-1.3034431661948531,3.0062171138875726,48.890238165287855,24.810659437547685,2.067322955104629,27.288429893603272,2,2,1,1,3,2,4,2,4
2,2,22.042615072995584,6.974295917355733,8.175099388364456,9.963537845940804,151.44077854524485,137.72486177323475,-3.3439757888918678,3.021524982826435,46.58290010596471,24.193678793015067,2.2878263727174897,27.297773452714328,2,2,1,1,3,2,4,2,4
3,3,24.940284335253832,8.28795685645935,8.539691223663732,10.008178738936364,152.6185256455429,136.80800635495206,-3.59336234042442,2.875929614312298,47.855803057321964,24.731299114478077,1.2116347948113173,28.032015975695973,2,2,1,1,3,2,4,2,4
4,4,24.96384975017768,8.482171474919792,8.868954642892094,11.171088975899645,152.89062726144564,137.11127588499693,-3.381535832909492,2.8022415248240975,46.31316784057498,24.71691462937204,1.0633854293021727,28.05621705723728,2,2,1,1,3,2,4,2,4
5,5,25.358266973802095,9.330071692423916,9.0508096408362,11.365176613786675,153.14253373920576,137.3410185749702,-3.2594220245347003,3.0600051308258287,45.85937847501728,25.114182848582516,0.5996328446265977,28.54404994136286,2,2,1,1,3,2,4,2,4
6,6,26.615352649268445,9.903942797960442,9.177777393872551,11.73002341288558,153.14628467760357,137.97928908274804,-3.69467314598387,3.2965046923839054,46.626409862314375,25.31371391846247,0.3431615881735297,28.72454266092408,2,2,1,1,3,2,4,2,4
7,7,26.342553201836232,9.573784607393813,9.754403411822599,11.484744306047636,152.53074350555747,138.36234924176296,-4.236052521326883,2.2176066595620227,46.84122480804277,28.076620476798468,0.14191509114050405,28.77509612062028,2,2,1,1,3,2,4,2,4
8,8,26.10456447160536,8.948112303727363,10.45951318498839,11.385279630211082,153.6927216005733,138.8050650118633,-4.716995499733798,1.4372971634912517,49.28035841674381,30.430393935450297,-0.021452311183907113,28.79537329239563,2,2,1,2,3,2,5,2,4
9,9,27.463604382058147,9.132856896107022,11.24633783130707,11.363987651232318,154.3685826084188,138.98745102145855,-4.198715222505285,1.7295182529375381,51.72186132699798,29.821159794150844,-0.5744103000049563,29.359859771012815,2,2,1,2,3,2,5,2,4
10,10,27.886413259466423,9.022241996095774,11.68981637679069,11.507916130359952,154.66385676811254,139.48616911130057,-3.8707667808666884,2.0360637498495464,53.358326831680074,31.900037579398116,-0.8895903410536903,29.58737766905958,2,2,1,2,3,2,5,2,4
11,11,28.427822734890658,9.248689539303527,12.16655425666721,11.562500311604651,154.2420139976737,139.37861327415212,-3.5754563088667908,2.727957703685661,53.774116586025016,29.71552811160322,-1.186995045298545,29.788194752137077,2,2,1,2,3,2,5,2,4
