,frame_id,frame_of_max_peak,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
0,4,9,9,High Risk,1185,736,-0.055585023015737534,0.99,1165,771,-0.06413554400205612,1.0,1185,737,-0.07779721915721893,0.74,1199,707,-0.08951299637556076,0.74,1169,766,-0.0030969581566751003,1.0,1193,724,-0.03169741481542587,0.73,1199,703,-0.06637522578239441,0.71,1071,822,-0.02847542054951191,1.0,994,808,-0.08144969493150711,0.48,939,782,-0.08975408971309662,0.37,1068,815,0.02846214547753334,1.0,999,794,0.04290831461548805,0.43,951,779,0.07073008269071579,0.29,9,8,6,2,4,2,2,2,5,62.20906721232758,-13.287418191880306,3.141686743483689,33.294061635322635,52.82780907844774,27.162263224623416,133.50367420152105,170.94898777875116,178.58353696949496,141.65380460323902,167.5229669212038,156.25392539321498,4
1,5,9,9,High Risk,1186,744,-0.024032026529312134,1.0,1165,773,-0.030441870912909508,1.0,1182,738,-0.054209984838962555,0.76,1195,708,-0.08096251636743546,0.74,1169,771,0.0291826743632555,1.0,1185,729,0.0010371885728091002,0.68,1198,706,-0.024581043049693108,0.69,1075,822,-0.024647682905197144,1.0,1002,798,-0.07654191553592682,0.53,952,776,-0.08715187013149261,0.42,1072,818,0.02463308349251747,1.0,1004,794,0.022395525127649307,0.43,959,773,0.027670269832015038,0.31,9,8,6,2,4,2,2,2,5,61.80582223408709,-10.18785636814033,15.999975529442196,31.593627251402864,37.709968895375994,14.729674277036196,144.6516484397955,170.56759392993558,158.19401306366,138.0430537215363,159.72589845576218,148.84160951772586,5
2,6,9,8,High Risk,1176,737,-0.04648727923631668,0.99,1164,761,-0.0852629691362381,1.0,1172,737,-0.14424929022789001,0.77,1185,705,-0.19503626227378845,0.75,1171,756,0.02553592249751091,1.0,1193,730,0.04988683760166168,0.63,1198,709,0.056039322167634964,0.66,1081,826,-0.04321622848510742,1.0,999,825,-0.055686142295598984,0.56,952,781,-0.06032711640000343,0.46,1079,815,0.04314346984028816,1.0,1009,795,0.041055817157030106,0.4,959,783,0.04713229835033417,0.31,8,8,5,2,3,2,2,2,5,56.49964254052713,-16.870487994606407,11.307223408313348,46.160900265024594,32.75016300944765,3.4169911332608933,159.49532709253668,158.81786943387084,160.2408438652897,145.90365514007883,125.30879987386162,171.8269829610125,6
3,7,9,8,High Risk,1179,735,-0.06922692805528641,0.99,1159,762,-0.10518386214971542,1.0,1174,725,-0.1543726623058319,0.79,1190,695,-0.19853396713733673,0.75,1164,755,0.002247523283585906,1.0,1194,719,0.007278434932231903,0.59,1213,699,-0.013943657279014587,0.64,1067,821,-0.040019117295742035,1.0,984,816,-0.055186185985803604,0.6,943,785,-0.06143895164132118,0.51,1063,810,0.04000290483236313,1.0,992,802,0.06813576072454453,0.38,952,781,0.0833577811717987,0.31,8,8,5,2,3,2,2,2,5,57.9903397178885,-29.107476627905584,25.140096071682876,44.36518996711743,16.63407144968164,6.01379011546959,134.57454484464708,170.67934003469813,157.78648363129062,159.2601956505943,140.53950987207335,162.5186094606951,7
4,8,9,8,High Risk,1193,740,-0.06495841592550278,0.98,1166,767,-0.11794685572385788,1.0,1170,745,-0.17075888812541962,0.8,1185,718,-0.22241033613681793,0.75,1162,749,0.0017046448774635792,1.0,1180,721,0.04776153340935707,0.54,1196,703,0.07628114521503448,0.6,1062,825,-0.04836321994662285,1.0,990,832,-0.004566678777337074,0.62,943,801,0.0016712553333491087,0.53,1059,805,0.048262253403663635,1.0,1005,802,0.11091723293066025,0.35,956,792,0.12897363305091858,0.3,8,7,5,2,3,2,1,2,5,59.96740806298805,-35.21704977815614,32.45672761327347,55.57960896997267,14.424592948854382,-2.732084147377975,168.81031828877465,160.56407682026347,135.9445363816657,158.08275272372953,128.557168676294,158.46446505330132,8
5,9,9,9,High Risk,1185,752,-0.036644984036684036,0.98,1156,761,-0.0786576047539711,1.0,1161,736,-0.12572138011455536,0.8,1193,703,-0.1698434203863144,0.76,1159,757,0.023667005822062492,1.0,1181,725,0.04651874676346779,0.5,1199,704,0.05678170174360275,0.58,1062,826,-0.04073859006166458,1.0,986,830,-0.046464428305625916,0.63,950,791,-0.006252084858715534,0.54,1063,816,0.04067331179976463,1.0,1005,797,0.06675217300653458,0.33,963,785,0.0978630781173706,0.29,9,7,6,3,3,2,1,2,5,58.501692698216736,-26.026891837758257,26.73523447866083,70.77221607806254,5.525833277728594,0.7173298002693684,161.39391740112288,161.4635924201846,146.74171162800525,157.28538361998238,137.3713453963263,159.58120247343987,9
6,10,9,9,High Risk,1191,738,0.00020943503477610648,0.98,1168,738,-0.02141556702554226,1.0,1183,727,-0.026585791260004044,0.76,1217,704,-0.03463410958647728,0.74,1171,746,0.019711392000317574,1.0,1185,731,0.019258081912994385,0.46,1220,719,0.01806645654141903,0.55,1104,830,-0.010692967101931572,1.0,1022,811,-0.03568186238408089,0.62,1017,780,0.007435568608343601,0.54,1108,830,0.010602551512420177,1.0,1034,818,0.010220479220151901,0.37,983,785,0.04134649783372879,0.34,9,7,6,3,3,2,1,2,5,37.69481626190229,-12.686065907938541,22.468318345257444,68.06904500018021,5.839833234173653,9.003942212692436,156.00539933900006,166.16701278948835,160.6838597409122,162.97418616312297,164.2968712796166,156.11304904561374,10
7,11,9,8,High Risk,1177,720,-0.015766117721796036,0.92,1158,731,-0.0025582790840417147,0.98,1192,714,-0.007636466063559055,0.71,1243,695,-0.030902763828635216,0.69,1176,742,-0.031762368977069855,0.99,1214,728,-0.05462175980210304,0.47,1273,710,-0.06952150166034698,0.54,1103,825,0.02248097024857998,1.0,1034,810,0.0008059836691245437,0.59,978,805,0.02691057324409485,0.51,1120,833,-0.022480348125100136,1.0,1051,820,-0.041600100696086884,0.42,980,800,-0.010065664537250996,0.39,8,8,4,1,3,2,2,2,5,33.36066581727645,-19.242556495548087,18.786285136390262,10.850036345931414,14.72990739490939,16.045370594274004,168.6472369032536,169.0066966680715,140.06256940399263,171.0127226042085,151.3180958831142,155.88905714260892,11
8,12,9,6,High Risk,1161,739,0.014144203625619411,0.9,1158,753,0.06701488792896271,0.98,1141,760,0.09814540296792984,0.64,1146,745,0.08444051444530487,0.63,1174,754,-0.029112236574292183,0.99,1172,738,-0.08296981453895569,0.44,1181,719,-0.10416616499423981,0.51,1122,834,0.03722209110856056,1.0,1044,808,0.03525463491678238,0.58,978,808,0.050878897309303284,0.51,1122,837,-0.03728346526622772,1.0,1049,816,-0.03719450160861015,0.47,981,802,-0.011124703101813793,0.45,6,8,2,1,3,1,2,2,5,30.62228686974467,13.61698847266402,14.269185554345853,17.102201198245552,46.68804666034309,69.07032558319237,138.61960405243732,55.77073183522121,113.04927235503715,122.77043777338329,76.88081793858188,32.690944086144064,12
9,13,9,4,High Risk,1165,729,-0.014619358815252781,0.9,1158,747,0.03961427882313728,0.98,1146,754,0.06510985642671585,0.59,1157,743,0.050552256405353546,0.58,1183,754,-0.03166147693991661,0.99,1183,757,-0.0695493221282959,0.45,1186,741,-0.08606913685798645,0.5,1121,831,0.028642764315009117,1.0,1048,808,0.008460097946226597,0.56,978,802,0.003534821094945073,0.5,1129,836,-0.02864544838666916,1.0,1048,815,-0.04017271846532822,0.51,976,803,-0.029120584949851036,0.48,4,6,2,1,3,1,2,2,4,29.54482448563073,8.905272140128886,12.148839851362823,20.865511378772908,29.316983119579902,60.05746343612756,99.82877493352711,32.35231737194621,76.11272924104871,43.37282233704362,63.36174609840442,48.9195722714248,13
