,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,12.305032293433344,13.730618389925292,19.863451839979973,20.381284821648787,149.76459862206863,140.75373959857603,-3.0298720532050254,5.914562690685386,30.24279307619645,20.705569823816774,0.0,18.72212370764971,2,2,1,1,2,2,3,2,3
1,1,6.918733097013305,12.995490286111998,17.04436243256541,20.257313681480607,153.23530280190184,142.46057720653715,-0.5204232147672485,6.350553298307005,29.371308611492054,15.443727075019524,0.11703451045630686,17.279496040764133,2,2,1,1,2,1,2,2,2
2,2,8.023216832025565,13.40766090605809,16.891476929341113,21.382966668438268,153.73584725817568,140.90268039897893,-0.5597462116378153,5.810284029109198,29.386347354721863,22.59102297199027,-1.2216693322237404,17.45825381044476,2,2,1,2,2,1,3,2,3
3,3,9.280287981392611,14.317171617067075,15.861975539329174,23.457770360840986,152.7636381544294,140.2213520329374,-0.5388493631387234,5.057608424572663,30.111831991724358,24.61155324922919,-3.8615178041599165,18.601313875823283,2,2,1,2,2,2,4,2,4
4,4,9.773355335378856,15.202303714949917,15.93711579032751,27.299450274536305,153.44991093425608,139.37986881095568,-0.4689120336247754,5.925517860356592,29.56118532048572,32.105068681399246,-5.155383591931553,18.553503187078974,2,2,1,2,2,2,4,2,4
5,5,12.001386903872348,17.740647591015932,16.022993250879836,28.12574135829172,157.35678999332407,141.20073280522334,3.5772170111246737,7.445507161566638,28.858475478914016,34.93630508821832,-6.819513664055734,19.995481000665492,2,2,1,2,2,2,4,2,4
6,6,12.490961158216523,18.170732366597385,14.860177453572334,28.058296446978794,159.1874861015351,144.30664585021208,2.864474431384849,6.19451773510778,31.4956885732567,29.080152120568584,-5.65437505910964,20.220659546903978,2,2,1,2,3,2,5,2,4
7,7,12.441967409299714,19.356452407340917,13.842180357610596,27.28975761296069,161.1172889440065,146.23870897615035,2.382986238149101,5.546072020168197,31.997572848818038,25.27149169485429,-3.3971667507680934,19.809426765244577,2,2,1,2,2,2,4,2,4
8,8,12.342392044797908,19.976415218858243,12.43735305079899,24.89161506787614,165.34775515953427,149.34563998757662,3.1462130405646462,2.8003144954599577,33.806966277171085,19.512078314117105,0.5672366979176786,19.202076826968494,2,2,1,1,2,2,3,2,3
9,9,12.351866340202024,21.271924068812677,11.516838920864666,20.09727292095131,168.94828873547402,152.7009695261512,5.145381923100416,8.87944884544649,32.98299349679627,14.221279977888827,5.483678811494968,18.018799892181075,2,2,1,1,2,2,3,2,3
10,10,12.629690633269307,21.463552683299554,11.862781072152172,17.15529537960107,169.64577559908045,153.43579200455065,5.396881276573595,11.898407348302072,29.745180996319107,13.204400391648278,9.320841412216339,17.020020238751524,2,2,1,1,2,1,2,2,2
11,11,15.651098609960103,22.61232858363005,12.033022971576084,15.737287652287318,171.65308102107593,153.2017084372244,4.330396891555125,8.703777492332193,29.474636442868558,14.209302139657865,10.567781366458064,17.801306368603758,2,2,1,1,2,1,2,2,2
12,12,16.400036834501037,22.548210988725035,12.42087405237626,15.374160843511177,170.9499545944361,152.89149972949727,2.6796894650811964,4.959843139093579,30.34450466600174,14.987289168657838,11.393323516366081,17.80550617348319,2,2,1,1,2,2,3,2,3
13,13,14.611326396088305,22.57945858375294,14.19310373543478,15.90465815179638,171.13179164947817,148.68605774118637,3.5940535335053596,4.354404699708937,30.228285060374645,16.726466468610766,11.693535752878205,17.973789002356824,2,2,1,1,2,2,3,2,3
14,14,13.787924578836318,22.880730304740563,22.277991844541933,14.703410215564144,169.50485252190862,143.0992399154833,4.85448145683344,5.132440093111427,30.793195720759883,15.804693204790084,11.373276272890905,20.171337940821726,2,2,1,1,3,2,4,2,4
15,15,12.38610061229111,23.316958145400505,19.324143507382924,15.63117111964415,167.11087423849455,141.87165796078892,6.426295117849463,6.761848512264152,31.440713852596417,14.254268058191258,13.070454073334588,20.173743285103104,2,2,1,1,3,2,4,2,4
16,16,13.2411202652927,22.606231111114692,20.306603833232714,14.87986015941093,166.36464816279957,141.40553447241183,8.244263712319935,5.776399605074062,31.149963231863325,12.853765581746643,13.448389571323048,20.537087309957208,2,2,1,1,3,2,4,2,4
17,17,13.484949668376993,21.644061293550553,18.397563625497934,13.048753898800806,164.32622458806662,134.71323605202312,8.669439294590205,6.811145523164299,31.480198242836252,13.152575536646225,14.176085811027875,20.254154142290574,2,2,1,1,3,2,4,2,4
18,18,13.778271869374953,20.929652964863305,17.432321545503825,8.377188691398779,166.1871585305723,131.31819145994643,9.345808729257072,4.19112804354134,28.4960369263828,10.175710806535108,14.130147992881632,19.981653530619983,2,2,1,1,2,1,2,2,2
19,19,12.086553152515952,21.684874265293065,12.679200286016004,10.244800607996906,165.48902300472898,131.11253950016481,10.208361905423942,6.139994711488441,27.14597873096136,12.633596719423764,13.960279466501518,18.707350874580207,2,2,1,1,2,1,2,2,2
20,20,11.614447590455244,21.63491165956632,5.736193601869426,11.633555735789756,164.7843639293273,130.05231126131943,10.360292640739402,6.322610332894925,26.686530980493643,13.103612561048351,13.822154773489913,17.155797675486635,2,2,1,1,2,1,2,2,2
21,21,11.463369637237571,21.093191466670238,4.364525384008586,7.879960562683259,165.20925590859238,127.102459641463,10.298773507017188,7.663560398530507,29.314766518595917,14.646030500566837,13.528988584076302,16.819688131088252,2,2,1,1,2,1,2,2,2
22,22,11.962666376721756,20.90398742138648,4.598862453860151,6.360852089581971,164.5288151266216,125.72604659231727,10.836481759878978,9.491173351777235,31.50903438044938,16.436982395943033,14.128103299998571,16.504796951735415,2,2,1,1,2,2,3,2,3
23,23,14.292160380410078,21.444702012973913,4.223902599273123,6.6186373407274175,164.08437592700236,124.46482916660862,10.805184097767665,10.085982670399972,36.63430362811877,19.9595663392123,14.080655644317218,17.43032304178781,2,2,1,1,2,2,3,2,3
24,24,15.107516691437253,22.110894409947814,3.318192615256866,7.805480200780929,161.70948670208716,123.90373752280492,11.359175192716435,10.456990499555872,35.45969586341104,21.584504586042584,14.972738871197805,17.84869609178986,2,2,1,1,2,2,3,2,3
25,25,17.061741372898325,23.895572975618013,6.10356532383884,13.556433803789218,161.2773106013196,132.5752624987367,12.815911194420806,13.674401844866793,35.06924265294228,23.972714769856424,15.642826590596698,19.66929868581714,2,2,1,1,2,2,3,2,3
26,26,15.750902728344746,24.25450703243721,6.3876394115066555,14.400335839855844,160.32865475399453,130.58084105925334,11.959908910746037,7.560048674530719,35.1337637696526,26.729604975916175,14.705704954289857,18.490577446569983,2,2,1,1,2,2,3,2,3
27,27,15.053613064317275,24.76664282343974,6.611048787359987,13.555430058925582,157.8471632085237,132.77601955721025,13.860638593023253,3.3310022323393014,34.631434399944,29.03374247071821,13.074465142422497,18.999742129232654,2,2,1,1,2,2,3,2,3
28,28,14.804578173732391,24.346327474056725,6.810570940670681,10.673533957783269,157.54498145225486,131.19408532484945,13.572325005463966,1.197245561870659,33.364561440887826,27.270706112792737,12.923938297501039,18.607039330523655,2,2,1,1,2,2,3,2,3
29,29,15.170522911445243,23.370225066755243,9.034626572082496,6.964946490373966,158.69193296432437,134.2283652850119,14.092402948233996,-0.9026950514195562,32.13717526872472,23.266103723651298,13.552078705906638,17.943074130694995,2,2,1,1,2,2,3,2,3
30,30,15.365514004371436,21.528590460471282,7.883745739798454,8.034062690493082,159.55003489622317,134.9032676368573,15.338445807476234,0.48888176630910607,31.415648630298563,11.7967799774502,12.765841167657214,17.322476141916788,2,2,2,1,2,2,3,3,3
31,31,17.169007456793526,18.6160777840836,17.808695931417315,5.727467519659797,159.44555486528913,140.6408295496677,18.12046751249207,-3.1278274491519653,30.803764339426436,5.073766303427192,13.615222976661954,18.375421324798022,1,2,2,1,2,2,3,2,3
32,32,17.39114830600394,17.220529902701237,20.246855433823107,6.218959096502184,160.37050291774605,139.73123387524444,20.04024256554132,-2.358032129035422,31.686654925280862,4.115055644784803,14.113047251559493,18.532312948136145,2,2,1,1,2,2,3,2,3
