,frame_id,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
0,0,3,Low Risk,245,362,-0.22092564404010773,1.0,172,426,-0.11126068979501724,1.0,170,527,-0.07980258017778397,0.97,158,620,-0.13970904052257538,0.94,291,415,-0.08162017911672592,1.0,348,513,-0.060686733573675156,0.97,356,607,-0.11720270663499832,0.94,216,624,-0.016165737062692642,1.0,236,779,0.0049545313231647015,0.97,243,911,0.10827425122261047,0.92,291,625,0.01617693342268467,1.0,265,755,0.07287628203630447,0.74,263,835,0.21712738275527954,0.62,3,2,3,2,2,1,1,2,2,18.72212370764971,0.0,20.705569823816774,30.24279307619645,5.914562690685386,-3.0298720532050254,140.75373959857603,149.76459862206863,20.381284821648787,19.863451839979973,13.730618389925292,12.305032293433344,0
1,1,2,Low Risk,248,361,-0.18536376953125,1.0,172,427,-0.08825550228357315,1.0,171,530,-0.0437745600938797,0.97,158,621,-0.07657139003276825,0.94,297,415,-0.06755688041448593,1.0,349,513,-0.04108204320073128,0.97,364,604,-0.07801152765750885,0.95,217,626,-0.013186410069465637,1.0,236,780,0.006141772959381342,0.96,245,911,0.10095320641994476,0.91,295,625,0.013079703785479069,1.0,261,777,0.05051853507757187,0.75,253,880,0.14947465062141418,0.63,2,2,2,1,2,1,1,2,2,17.279496040764133,0.11703451045630686,15.443727075019524,29.371308611492054,6.350553298307005,-0.5204232147672485,142.46057720653715,153.23530280190184,20.257313681480607,17.04436243256541,12.995490286111998,6.918733097013305,1
2,2,3,Low Risk,254,360,-0.18213292956352234,1.0,174,427,-0.08983790874481201,1.0,172,533,-0.049418237060308456,0.97,158,623,-0.07929865270853043,0.94,305,417,-0.07088044285774231,1.0,356,514,-0.04662429913878441,0.97,374,602,-0.08475140482187271,0.95,218,627,-0.010665143840014935,1.0,240,782,0.0006696685450151563,0.96,250,912,0.07637326419353485,0.92,298,626,0.010482666082680225,1.0,261,785,0.043314676731824875,0.77,250,876,0.17200122773647308,0.64,3,2,3,1,2,2,1,2,2,17.45825381044476,-1.2216693322237404,22.59102297199027,29.386347354721863,5.810284029109198,-0.5597462116378153,140.90268039897893,153.73584725817568,21.382966668438268,16.891476929341113,13.40766090605809,8.023216832025565,2
3,3,4,Medium Risk,262,360,-0.18841151893138885,1.0,176,427,-0.10036847740411758,1.0,171,534,-0.06078147888183594,0.97,158,626,-0.09756646305322647,0.94,312,417,-0.08082195371389389,1.0,368,514,-0.052715204656124115,0.97,382,602,-0.0873318463563919,0.95,222,628,-0.008680446073412895,1.0,247,783,-0.0009836623212322593,0.96,257,912,0.0848485678434372,0.92,304,626,0.008478273637592793,1.0,272,783,0.04363929480314255,0.78,251,873,0.17845149338245392,0.66,4,2,4,2,2,2,1,2,2,18.601313875823283,-3.8615178041599165,24.61155324922919,30.111831991724358,5.057608424572663,-0.5388493631387234,140.2213520329374,152.7636381544294,23.457770360840986,15.861975539329174,14.317171617067075,9.280287981392611,3
4,4,4,Medium Risk,270,360,-0.15952534973621368,1.0,179,427,-0.09503086656332016,1.0,171,535,-0.061204977333545685,0.97,158,629,-0.08987517654895782,0.94,318,419,-0.0681912750005722,1.0,377,514,-0.03856585919857025,0.97,392,600,-0.06359825283288956,0.95,223,630,-0.009193514473736286,1.0,252,786,-0.019046057015657425,0.96,264,917,0.04948728531599045,0.92,305,627,0.009008446708321571,1.0,284,784,0.033986832946538925,0.79,276,867,0.18509678542613983,0.65,4,2,4,2,2,2,1,2,2,18.553503187078974,-5.155383591931553,32.105068681399246,29.56118532048572,5.925517860356592,-0.4689120336247754,139.37986881095568,153.44991093425608,27.299450274536305,15.93711579032751,15.202303714949917,9.773355335378856,4
5,5,4,Medium Risk,283,360,-0.16585789620876312,1.0,183,428,-0.10177447646856308,1.0,171,536,-0.0680474266409874,0.97,159,634,-0.0956631451845169,0.93,325,420,-0.06995844841003418,1.0,386,515,-0.04359131306409836,0.97,402,600,-0.07349803298711777,0.95,228,631,-0.009211634285748005,1.0,256,788,-0.01577455922961235,0.96,266,918,0.056055326014757156,0.93,310,628,0.009021654725074768,1.0,293,784,0.04299948364496231,0.81,284,865,0.1960216462612152,0.67,4,2,4,2,2,2,1,2,2,19.995481000665492,-6.819513664055734,34.93630508821832,28.858475478914016,7.445507161566638,3.5772170111246737,141.20073280522334,157.35678999332407,28.12574135829172,16.022993250879836,17.740647591015932,12.001386903872348,5
6,6,4,Medium Risk,296,358,-0.1724962741136551,1.0,187,426,-0.11819037050008774,1.0,172,536,-0.08369180560112,0.97,161,636,-0.09780098497867584,0.93,330,421,-0.07074358314275742,1.0,391,517,-0.040223076939582825,0.97,410,600,-0.06616441160440445,0.95,233,631,-0.00932684913277626,1.0,257,793,-0.0033409567549824715,0.96,264,918,0.1088159903883934,0.94,314,628,0.009054564870893955,1.0,298,787,0.06243913620710373,0.82,296,868,0.2145245373249054,0.69,4,2,5,2,3,2,1,2,2,20.220659546903978,-5.65437505910964,29.080152120568584,31.4956885732567,6.19451773510778,2.864474431384849,144.30664585021208,159.1874861015351,28.058296446978794,14.860177453572334,18.170732366597385,12.490961158216523,6
7,7,4,Medium Risk,307,356,-0.15370497107505798,1.0,192,424,-0.11469434946775436,1.0,173,536,-0.08061403781175613,0.97,163,641,-0.09418734163045883,0.93,339,421,-0.059400878846645355,1.0,395,519,-0.021049289032816887,0.97,417,600,-0.0437169186770916,0.95,236,631,-0.014428902417421341,1.0,260,792,-0.017483146861195564,0.97,264,918,0.09789372235536575,0.94,319,627,0.014158395119011402,1.0,309,786,0.06310125440359116,0.84,313,874,0.2066987007856369,0.72,4,2,4,2,2,2,1,2,2,19.809426765244577,-3.3971667507680934,25.27149169485429,31.997572848818038,5.546072020168197,2.382986238149101,146.23870897615035,161.1172889440065,27.28975761296069,13.842180357610596,19.356452407340917,12.441967409299714,7
8,8,3,Low Risk,318,355,-0.1403513252735138,1.0,198,423,-0.11373023688793182,1.0,175,537,-0.08081481605768204,0.97,167,645,-0.08718297630548477,0.93,346,421,-0.048115719109773636,1.0,396,519,-0.002077931771054864,0.97,422,600,-0.020803827792406082,0.95,242,630,-0.018949346616864204,1.0,263,792,-0.019328925758600235,0.97,268,919,0.07531102001667023,0.95,326,627,0.01873309351503849,1.0,318,786,0.05535284802317619,0.85,333,886,0.1517656445503235,0.74,3,2,3,2,2,1,1,2,2,19.202076826968494,0.5672366979176786,19.512078314117105,33.806966277171085,2.8003144954599577,3.1462130405646462,149.34563998757662,165.34775515953427,24.89161506787614,12.43735305079899,19.976415218858243,12.342392044797908,8
9,9,3,Low Risk,332,355,-0.13897591829299927,1.0,205,422,-0.1170586347579956,1.0,180,540,-0.09123428910970688,0.97,172,648,-0.08990339189767838,0.94,354,421,-0.04161250963807106,1.0,397,519,0.002115977229550481,0.97,422,599,-0.0264720618724823,0.95,250,630,-0.02081502415239811,1.0,268,793,-0.020231863483786583,0.97,271,921,0.06258165091276169,0.95,336,627,0.020623378455638885,1.0,342,789,0.03956688940525055,0.87,360,907,0.11561749130487442,0.77,3,2,3,2,2,1,1,2,2,18.018799892181075,5.483678811494968,14.221279977888827,32.98299349679627,8.87944884544649,5.145381923100416,152.7009695261512,168.94828873547402,20.09727292095131,11.516838920864666,21.271924068812677,12.351866340202024,9
10,10,2,Low Risk,345,356,-0.10030832886695862,1.0,211,423,-0.09638141095638275,1.0,184,543,-0.08178115636110306,0.97,180,649,-0.08511866629123688,0.94,360,421,-0.023040134459733963,1.0,399,520,0.01771431975066662,0.96,425,599,-0.012315383180975914,0.95,256,632,-0.019881267100572586,1.0,274,793,-0.01753634586930275,0.97,272,922,0.04971763864159584,0.95,345,627,0.01970813423395157,1.0,361,791,0.029718006029725075,0.88,376,916,0.08714316785335541,0.79,2,2,2,1,2,1,1,2,2,17.020020238751524,9.320841412216339,13.204400391648278,29.745180996319107,11.898407348302072,5.396881276573595,153.43579200455065,169.64577559908045,17.15529537960107,11.862781072152172,21.463552683299554,12.629690633269307,10
11,11,2,Low Risk,355,357,-0.11736411601305008,1.0,221,424,-0.1061895340681076,1.0,193,543,-0.09196318686008453,0.97,190,648,-0.09230354428291321,0.94,369,422,-0.0340559296309948,1.0,402,521,0.006913560908287764,0.96,428,599,-0.02436150424182415,0.95,265,633,-0.020638536661863327,1.0,282,793,-0.015958568081259727,0.97,273,922,0.0472089909017086,0.96,352,628,0.02047628164291382,1.0,367,790,0.029569564387202263,0.89,383,918,0.08678050339221954,0.81,2,2,2,1,2,1,1,2,2,17.801306368603758,10.567781366458064,14.209302139657865,29.474636442868558,8.703777492332193,4.330396891555125,153.2017084372244,171.65308102107593,15.737287652287318,12.033022971576084,22.61232858363005,15.651098609960103,11
12,12,3,Low Risk,364,360,-0.1171969324350357,1.0,232,427,-0.10731770843267441,1.0,202,545,-0.09442947059869766,0.98,198,649,-0.10064151883125305,0.94,378,422,-0.030227065086364746,1.0,408,521,0.007863014005124569,0.96,432,598,-0.030098510906100273,0.95,275,635,-0.02355370856821537,1.0,291,793,-0.015045064501464367,0.98,275,921,0.05260400474071503,0.96,359,629,0.02340557612478733,1.0,369,790,0.03515152260661125,0.9,384,922,0.09907831996679306,0.83,3,2,3,2,2,1,1,2,2,17.80550617348319,11.393323516366081,14.987289168657838,30.34450466600174,4.959843139093579,2.6796894650811964,152.89149972949727,170.9499545944361,15.374160843511177,12.42087405237626,22.548210988725035,16.400036834501037,12
