,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,147.62477956589933,145.6188584226104,150.50172954193337,169.74162103040354,166.42415740048992,163.90093074023233,20.65865630945345,9.589281291932679,56.62900246253017,30.236188889134098,0.0,80.57008984511624,5,2,2,1,4,2,5,8,8
1,1,121.3063203944109,110.16151364272251,156.89354290505258,163.33958376466356,135.76409580821496,153.49873195227795,28.26664084170031,2.6772812821744196,147.93095471143107,98.11143374752928,-0.8390645334796716,82.07255588399678,5,2,2,2,4,3,7,8,10
2,2,141.90024691320636,107.67838219731632,136.4986289117087,164.56583171143976,130.1137981705678,138.37110301529938,5.286457742940172,5.422009441606065,126.75983155750279,116.13788022189021,16.5350912319237,84.86014906061435,5,2,1,1,4,3,6,7,9
3,3,11.545688284021827,13.35452487426606,12.49968728076289,1.2432950613194638,111.24446826421637,144.80057709157987,17.866458036018145,-1.6244463909937679,43.05526097529403,11.23199206230467,24.7047665410432,9.383872963701462,1,2,2,2,2,2,4,2,4
4,4,12.535370261269813,12.941793584388149,9.863544677133243,0.8455067762608195,114.2724572664677,139.70170395221538,11.877190822688107,-0.7924076633219386,40.65210209331758,12.057620461568433,22.881719043739338,13.75210666348581,1,2,1,2,2,2,4,1,3
5,5,11.035299866566048,20.645629227777228,7.993949284461014,1.0379645479621016,118.86640918835798,137.6704909078689,3.391373708147256,0.28720766006304643,43.88855058993576,14.004017875176714,23.32825723175759,14.433442462779166,2,2,1,2,2,2,4,2,4
6,6,8.8834952512358,23.706133129285497,5.015001010616203,1.450859653369691,154.364257201459,136.25055304866075,4.506733324554915,-1.5428735924480748,36.15694767168631,17.152585842194384,25.24849190291556,15.984497346792876,2,2,1,2,2,2,4,2,4
7,7,8.23339593903235,24.569591927314235,4.447469156658112,4.39198023032647,161.00808287856026,136.80869710998908,5.799051098382989,-4.104074993325838,38.794062583924415,18.478274222230027,26.394102915708487,15.367436194747373,2,2,1,2,2,2,4,2,4
8,8,8.930108593981387,26.480197504788464,3.2577907480442945,5.504778539066756,160.3919494431655,138.72114288333017,6.504352524980106,3.0547635635015524,39.875249831744014,26.094533727349045,25.064558832845137,15.728777226944576,2,2,1,2,2,2,4,2,4
9,9,10.098341717157234,24.422393081064428,4.27686442932122,6.647413829605123,161.32222456054504,139.56402279259524,5.089655680416456,2.928665430271991,42.79322359034086,26.236474208319976,25.92970041313447,14.767838142600848,2,2,1,2,2,2,4,2,4
10,10,10.28265125480339,23.04446244883033,6.972802592239748,5.37630286756136,163.73625565819393,139.8763279652138,4.986302951397448,0.21797399537820183,50.159674414104785,40.62413934191159,25.768438955891696,13.018421985352337,2,2,1,2,2,2,4,2,4
11,11,10.637345538162517,22.951729106454508,7.9483136846281885,3.9505543437858375,163.40807872332172,140.01573039429135,6.469200984261505,-1.1568224781524918,52.21529836416562,45.9841216532719,25.966599171455073,12.147420389079494,2,2,1,2,2,2,4,2,4
12,12,9.068993081747118,22.888566032011056,9.767274085844326,5.168894562240897,158.94743112029533,142.25468659919426,7.3220471555198685,-1.1689834116512543,51.79096160700263,37.36632139016879,27.19923389282536,10.294263966852212,2,2,1,2,2,2,4,2,4
13,13,8.709264752585648,22.763580646416766,11.756536863813801,5.0042403349252425,157.41029879806393,140.49448970335973,8.020212687018187,-1.4891965678485235,51.70541380983832,37.02690650544375,28.787704180955274,9.798946183771397,2,2,1,2,2,2,4,2,4
14,14,8.748119131072137,22.532629220441475,14.456287065234507,2.9010243733614636,159.4903431139344,141.07747907011526,10.02516469185079,-0.9669998035851108,53.459200164121484,30.644273578743423,31.76720559139602,9.586478172787967,2,2,1,2,2,2,4,2,4
15,15,7.77134864939606,22.173687556111123,14.821680448924418,3.5586644654837873,159.68440919807816,139.42311981922046,12.245740498776797,0.6769063141314859,51.030630124121075,20.922351660032433,33.19666297429902,8.83408190255904,2,2,1,2,2,2,4,2,4
16,16,6.667963144553461,23.286381274168516,14.000928266291837,4.723251378624057,158.14232700790546,138.708409768941,14.552888413042893,2.8500486197820862,51.663131511527155,12.721069694614442,32.744095508444474,8.642771730579836,2,2,1,2,2,2,4,2,4
17,17,7.442726783249967,24.53622159783207,13.75879593926982,5.711398212460744,156.02909716253728,140.7931562489289,16.665477980962578,2.075962074505668,51.55924577286453,13.914941810346164,33.05426036159943,10.31336505945138,2,2,2,2,2,2,4,3,4
18,18,7.791883442788584,24.696937279763624,17.060665756974252,5.269171213296284,156.25901251888794,142.7074150571786,16.53608103078426,3.601368376552273,50.76539431857046,17.102124860439943,34.22468366520363,10.601632155077118,2,2,2,2,2,2,4,3,4
19,19,8.715307082764154,23.88594303605605,20.415949137003643,4.586778398113909,156.11372434523327,145.34233993093102,16.190267197849494,1.1450363024700891,49.04079544223163,18.27668909688174,37.71927442386655,10.055373930301416,2,2,2,2,2,2,4,3,4
20,20,10.705026848322364,22.702657162763387,20.612748610450087,4.8128463445374,157.75841292762632,146.73231451686297,17.522154570609445,0.04236098890521589,46.7881021731049,17.013832213294307,41.453788166800464,10.075381449285759,2,2,2,2,2,2,4,3,4
21,21,16.803962714128655,19.971060670206267,19.962959022406356,2.872247252617929,157.9941993747026,145.3965413362663,20.110134370170783,-0.03875841740557462,46.040738837910595,14.902436300358886,41.901491557437566,10.791130866611505,1,2,2,2,2,2,4,2,4
22,22,16.362545854600942,18.488531880595485,17.313484190501626,1.4221574465947144,160.9312604349446,147.55582079800737,22.584030881762857,0.40103967650637173,51.055071049768316,14.786855205983017,39.857450482719,10.585944927629436,1,2,2,2,2,2,4,2,4
23,23,14.305798694149845,17.56466303297945,16.2700100260418,0.2775108685308099,163.08286996369344,148.1765952848872,20.294266754086777,1.0671373848136625,48.89811485739787,12.851535805252894,37.186058720054035,10.03027885917524,1,2,2,2,2,2,4,2,4
24,24,11.78643022133745,19.277784034786112,14.46267736278928,0.3993190748151727,159.77581885673212,151.95788629455058,23.081380937793597,2.3529501676987934,50.63879904167493,13.507427009492943,34.39030784921289,9.853363139518727,1,2,2,2,2,2,4,2,4
25,25,10.913087689230649,19.97077052723021,13.055204966016388,0.6905536168846461,160.72554489665413,154.00396165254523,23.287498704494396,0.8731600587326511,51.20136757612457,12.251584879508613,32.36178104906179,9.440469563731442,1,2,2,2,2,2,4,2,4
26,26,11.559832135464157,22.66299765310836,12.221165627924329,0.645901762793971,158.46814374729468,154.8039492546864,24.510650269579685,0.0007958658489997106,54.497309576020754,13.482835173354005,29.979560359020752,9.64111456496895,2,2,2,2,2,2,4,3,4
27,27,10.66718734844257,22.154275422808357,10.607316677794214,1.1054407720224844,158.89254614518634,154.09729399593454,23.55408585581128,-0.4253110937761164,51.36821076142411,12.310051799347974,29.044930944212382,9.511667828528854,2,2,2,2,2,2,4,3,4
28,28,10.413145693664452,21.983895790689107,8.525159144738842,0.7932085668769498,159.58516796797815,155.38208561034875,23.312720774772913,-0.07746219904745999,50.41990013418169,12.138822228104033,29.743924776866947,9.454642757936895,2,2,2,2,2,2,4,3,4
29,29,10.034233637724018,22.54370911842532,8.168164960620796,1.291480671822766,159.34685752041136,152.25215312641893,21.622143359766284,0.3764481287679473,55.70570881978769,7.378054735913395,32.05000847593962,8.952896674086656,2,2,2,2,2,2,4,3,4
30,30,10.062945992352313,22.339906644281438,12.466817892864546,16.896536609109997,157.71462893506563,130.22439375280481,22.55757469110182,13.153377642290536,54.08679230573793,9.210393295485659,31.4375428146314,9.160124930433334,2,2,2,2,2,2,4,3,4
31,31,11.495904586390068,19.334707895354814,12.863782154403289,14.058832675722433,159.32744639405914,137.493004356753,23.15001065978845,7.069967241588131,51.52991149965757,10.738567397079692,28.31671157449196,11.000050137955991,1,2,2,2,2,2,4,2,4
32,32,12.917721138331599,17.703212840609247,12.152755524524602,11.23870738979406,154.11276381838658,144.96495856287729,28.570364178412717,2.198066040557876,55.051827352385544,10.404677991766675,24.96295114132866,12.102941458327331,1,2,2,2,2,2,4,2,4
33,33,14.145955706228868,15.545152057557836,9.735231814890374,3.6525881023167033,149.4357810795075,148.3004918053637,33.21794182911739,-5.317019598413026,57.569730659585474,9.574522535070884,21.09580936951525,13.456534777098717,1,2,2,2,2,2,4,2,4
34,34,14.49448170465503,14.77366808788103,8.923532559644919,3.8220397209863752,150.01105099486796,146.6365958687458,32.28737380442365,-5.325170626514819,55.661048384360086,8.060059994507156,19.40323256812664,13.629800510887021,1,2,2,1,2,2,3,2,3
35,35,15.117674795694773,15.599442779078998,9.131305854024507,2.604731317579863,151.15123162672128,150.40824625058232,29.260756484379243,-7.530341825229698,61.35409200384517,10.928864632295443,20.10788413968288,13.299773789278078,1,2,2,2,2,3,5,2,4
36,36,14.667518100418777,17.638502296882375,9.346358027722337,1.424471312481945,153.0796841804996,153.35609742153923,28.018844068169102,-8.707392919491838,63.46885784474807,15.177836654359055,20.653045038198627,12.231383332333879,1,2,2,2,2,3,5,2,4
37,37,15.519908109706131,17.908649154852785,9.430078225596839,1.348729129231623,154.37439233075924,153.6929144338455,29.008654000398508,-7.733430614751427,65.74197273081471,21.529810922541287,18.350889414636555,10.984897888962703,1,2,2,1,2,3,4,2,4
38,38,16.592694061478696,16.94914093507245,4.516372395144268,2.2215825732798504,153.98614946562114,148.27251474537042,29.261871411097985,-6.667584856055157,71.8187178798575,26.569463401573586,15.718704930338589,12.24396055165244,1,2,2,1,2,3,4,2,4
39,39,16.67648626205374,16.269662476031012,5.455942039187217,1.949324904616583,153.08444383156174,144.44246117873612,32.19370475078881,-4.326131690485823,61.486823869498636,40.88204273201265,16.359985251781552,12.352510538071463,1,2,2,1,2,3,4,2,4
40,40,19.9653397450893,17.82153611145637,4.699430961352913,1.1746695133324532,153.7354919087235,141.97630559349489,30.973666616644834,-3.490299846302065,59.69868065992813,46.30592790585342,20.522080735995416,12.132314809373709,1,2,2,2,2,2,4,2,4
41,41,21.383456105852808,17.67513143916965,5.038075575442036,1.6324808704764113,152.33566590759523,142.68281447874978,27.90935482836872,-4.51668077514509,51.388207508972926,37.91580443612193,22.366956361788425,11.48108140572616,2,2,2,2,2,2,4,3,4
