,frame_id,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
0,0,8,High Risk,1829,553,-0.042990460991859436,0.94,1841,549,-0.07671502232551575,0.9,1828,571,-0.07329877465963364,0.52,1804,565,-0.06928732246160507,0.29,1846,535,-0.025830449536442757,0.94,1809,520,-0.01053081639111042,0.35,1744,517,-0.01604372076690197,0.55,1968,563,-0.027921203523874283,0.08,1891,526,-0.014395917765796185,0.3,1849,526,0.06004670634865761,0.22,1979,571,0.028153812512755394,0.15,1892,538,0.041151393204927444,0.07,1867,532,0.10183684527873993,0.1,8,8,5,2,4,1,2,2,5,80.57008984511624,0.0,30.236188889134098,56.62900246253017,9.589281291932679,20.65865630945345,163.90093074023233,166.42415740048992,169.74162103040354,150.50172954193337,145.6188584226104,147.62477956589933,0
1,1,10,High Risk,1804,578,-0.009849650785326958,0.95,1829,567,-0.04100299999117851,0.9,1826,595,-0.044160082936286926,0.53,1802,586,-0.05886979401111603,0.32,1836,552,0.010874343104660511,0.95,1819,555,0.033846188336610794,0.35,1789,564,0.051352664828300476,0.56,1965,578,-0.027712758630514145,0.11,1926,564,-0.017521971836686134,0.3,1967,585,0.06008319929242134,0.21,1972,580,0.027893314138054848,0.19,1929,572,0.051202449947595596,0.06,1981,583,0.10670699179172516,0.1,10,8,7,3,4,2,2,2,5,82.07255588399678,-0.8390645334796716,98.11143374752928,147.93095471143107,2.6772812821744196,28.26664084170031,153.49873195227795,135.76409580821496,163.33958376466356,156.89354290505258,110.16151364272251,121.3063203944109,1
2,2,9,High Risk,1817,571,-0.015875499695539474,0.94,1826,568,-0.02924627624452114,0.91,1824,592,-0.037453699856996536,0.55,1799,587,-0.038322754204273224,0.36,1838,548,0.01880224421620369,0.95,1820,554,0.024265337735414505,0.36,1793,572,0.01847023516893387,0.58,1949,577,-0.027859756723046303,0.17,1922,553,-0.043190691620111465,0.34,1930,566,0.004827569238841534,0.22,1962,563,0.02802121825516224,0.24,1920,546,0.03764626011252403,0.07,1947,568,0.059137240052223206,0.11,9,7,6,3,4,1,1,2,5,84.86014906061435,16.5350912319237,116.13788022189021,126.75983155750279,5.422009441606065,5.286457742940172,138.37110301529938,130.1137981705678,164.56583171143976,136.4986289117087,107.67838219731632,141.90024691320636,2
3,3,4,Medium Risk,120,417,-0.1170504093170166,0.95,-5,507,-0.1474699229001999,0.92,-23,669,-0.157216414809227,0.59,61,694,-0.15584903955459595,0.38,126,518,0.022355632856488228,0.95,130,642,0.05342734977602959,0.36,158,734,-0.009489670395851135,0.55,17,766,-0.05017947033047676,0.25,54,953,-0.06904929131269455,0.36,82,1084,0.04790135473012924,0.21,80,766,0.05028793588280678,0.31,48,941,0.08099035173654556,0.08,33,1088,0.18839019536972046,0.1,4,2,4,2,2,2,2,2,1,9.383872963701462,24.7047665410432,11.23199206230467,43.05526097529403,-1.6244463909937679,17.866458036018145,144.80057709157987,111.24446826421637,1.2432950613194638,12.49968728076289,13.35452487426606,11.545688284021827,3
4,4,3,Low Risk,125,416,-0.15387581288814545,0.95,0,507,-0.17180794477462769,0.93,-27,669,-0.166942298412323,0.63,81,714,-0.15238605439662933,0.42,131,516,-0.006232080515474081,0.96,134,642,0.0366533063352108,0.37,160,736,-0.018425149843096733,0.55,21,765,-0.04980909824371338,0.32,81,958,-0.049033477902412415,0.41,83,1083,0.054686423391103745,0.22,82,766,0.04994199797511101,0.38,52,938,0.08312008529901505,0.1,31,1088,0.18638251721858978,0.12,3,1,4,2,2,2,1,2,1,13.75210666348581,22.881719043739338,12.057620461568433,40.65210209331758,-0.7924076633219386,11.877190822688107,139.70170395221538,114.2724572664677,0.8455067762608195,9.863544677133243,12.941793584388149,12.535370261269813,4
5,5,4,Medium Risk,137,412,-0.16861094534397125,0.96,6,503,-0.1786779761314392,0.93,-39,665,-0.18265102803707123,0.66,63,738,-0.18591365218162537,0.47,139,512,-0.005869774147868156,0.96,138,641,0.03968103602528572,0.37,166,736,-0.01773943565785885,0.55,30,761,-0.05030178278684616,0.38,87,958,-0.06262680888175964,0.46,79,1076,0.05604316666722298,0.23,91,764,0.05046003311872482,0.44,69,938,0.07528696954250336,0.12,52,1061,0.18644700944423676,0.14,4,2,4,2,2,2,1,2,2,14.433442462779166,23.32825723175759,14.004017875176714,43.88855058993576,0.28720766006304643,3.391373708147256,137.6704909078689,118.86640918835798,1.0379645479621016,7.993949284461014,20.645629227777228,11.035299866566048,5
6,6,4,Medium Risk,150,404,-0.19474467635154724,0.96,21,498,-0.19685527682304382,0.94,-39,648,-0.18913443386554718,0.69,-12,764,-0.20419888198375702,0.51,150,510,-0.0197166558355093,0.96,145,639,0.042010799050331116,0.39,177,732,-0.008306811563670635,0.56,53,754,-0.054192621260881424,0.44,91,949,-0.07845937460660934,0.51,72,1101,-0.014146781526505947,0.26,118,755,0.05433441326022148,0.5,115,932,0.09154745936393738,0.15,92,1047,0.2086794078350067,0.14,4,2,4,2,2,2,1,2,2,15.984497346792876,25.24849190291556,17.152585842194384,36.15694767168631,-1.5428735924480748,4.506733324554915,136.25055304866075,154.364257201459,1.450859653369691,5.015001010616203,23.706133129285497,8.8834952512358,6
7,7,4,Medium Risk,165,397,-0.18688011169433594,0.96,34,492,-0.1886938065290451,0.95,-30,633,-0.1827974170446396,0.73,-22,769,-0.1984243094921112,0.56,165,508,-0.009220804087817669,0.97,164,635,0.06891366094350815,0.4,190,730,0.007610124070197344,0.58,61,750,-0.05604809150099754,0.5,86,941,-0.09892921894788742,0.51,43,1111,0.00703933322802186,0.26,132,754,0.056147631257772446,0.55,117,940,0.05794021859765053,0.15,78,1056,0.16617053747177124,0.14,4,2,4,2,2,2,1,2,2,15.367436194747373,26.394102915708487,18.478274222230027,38.794062583924415,-4.104074993325838,5.799051098382989,136.80869710998908,161.00808287856026,4.39198023032647,4.447469156658112,24.569591927314235,8.23339593903235,7
8,8,4,Medium Risk,181,388,-0.2136174738407135,0.97,48,489,-0.20915117859840393,0.95,-14,632,-0.20710988342761993,0.75,-11,788,-0.22342437505722046,0.6,180,507,-0.01981259509921074,0.97,176,635,0.06654135882854462,0.41,202,732,0.005915656685829163,0.58,75,749,-0.05559929832816124,0.55,84,948,-0.1231950968503952,0.55,34,1124,-0.020791256800293922,0.3,157,755,0.05570334196090698,0.59,151,943,0.06544683873653412,0.18,106,1076,0.25469377636909485,0.14,4,2,4,2,2,2,1,2,2,15.728777226944576,25.064558832845137,26.094533727349045,39.875249831744014,3.0547635635015524,6.504352524980106,138.72114288333017,160.3919494431655,5.504778539066756,3.2577907480442945,26.480197504788464,8.930108593981387,8
9,9,4,Medium Risk,197,384,-0.1865583211183548,0.97,58,483,-0.20297673344612122,0.96,-2,631,-0.20980030298233032,0.78,1,787,-0.21903882920742035,0.64,191,504,-0.0028463187627494335,0.97,186,635,0.08206156641244888,0.4,217,738,0.027230318635702133,0.58,87,750,-0.05928589776158333,0.59,82,955,-0.14069481194019318,0.58,34,1133,-0.028950531035661697,0.32,175,756,0.05937675014138222,0.63,167,944,0.08809934556484222,0.2,114,1094,0.256337434053421,0.15,4,2,4,2,2,2,1,2,2,14.767838142600848,25.92970041313447,26.236474208319976,42.79322359034086,2.928665430271991,5.089655680416456,139.56402279259524,161.32222456054504,6.647413829605123,4.27686442932122,24.422393081064428,10.098341717157234,9
