,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,22.65254766265171,15.43297237284803,7.444991788692237,2.683573943916308,162.4777407226929,150.96304126456454,5.516435500124885,-1.7644990081255685,29.38049478209564,10.168910993187467,0.0,24.345760325577213,2,2,1,1,3,1,2,2,2
1,1,21.89584067303648,14.86868811797401,6.9824177982323,3.728838271515845,164.16073027186172,151.07331318175537,6.213495320858982,-0.9320478943791954,25.90599113440868,8.449991941625171,1.4921898396534914,23.601721045352296,2,2,1,1,3,1,2,2,2
2,2,21.63821182297588,14.22114063177823,6.702371335731453,3.81555247754249,165.6183891606345,153.218265694802,7.85475617931948,-2.272826914454953,27.514904061091954,7.604948789071415,2.8745578639688745,23.428090244955257,2,2,1,1,3,1,2,2,2
3,3,21.87947020554018,13.65283432616277,6.527443754660158,3.747387110132445,167.7623781254681,154.48709666275482,8.678434346851361,-3.0760822561133523,27.867114443774142,7.684543963061998,5.220390438345049,23.4813386055336,2,2,1,1,3,1,2,2,2
4,4,21.74455729089011,13.552284249009645,6.587319416470922,4.102725190059145,168.54053272670544,154.91695683969098,8.744259852911767,-3.761139484875372,27.210791919416266,8.051661439806168,6.354853730129406,23.621979444832423,2,2,1,1,3,1,2,2,2
5,5,21.019207995666306,13.925335577292554,6.342217754602469,3.6148885541074964,168.90749923270613,154.94729347516002,9.7331631476101,-3.8261525084375307,27.286705403724824,8.765138033616694,11.899373140951184,23.913212524418846,2,2,1,1,3,1,2,2,2
6,6,20.45134472369059,14.07907410023921,6.070666802900836,3.0200840416403896,168.75000197476712,154.24420188777034,9.780800315413899,-3.696317642390852,26.61715765248286,9.016790200260687,13.417540107121482,24.088704530743072,2,2,1,1,3,1,2,2,2
7,7,20.050581098689666,14.349771445420934,6.082470257187115,2.0799668388501718,168.06216221875616,154.09911244953844,10.69148466429914,-3.630502484108831,26.57353763699885,9.060495635711646,14.494148645400486,24.333598012697998,2,2,1,1,3,1,2,2,2
8,8,19.72268301613708,14.595885473934162,6.392444509150814,1.4453690308452898,167.47244836215728,154.016895405084,11.61792198029184,-3.660790206240563,26.72536324753787,9.009577030419251,16.12215695434753,24.50311263193417,1,2,1,1,3,1,2,1,1
9,9,19.599776578971902,14.75030850800947,6.602428117741662,1.0494267731925087,167.02658874548172,153.90051944870717,12.313506883287033,-3.7209797972178933,26.739371468064547,9.010625658979961,16.840753755330837,24.72873896101545,1,2,1,1,3,1,2,1,1
10,10,19.532352695636515,14.957741493269051,6.702569960789245,0.8318076458924629,166.71383728908935,154.31319428816482,12.667131958524578,-3.9693916979197468,26.46697276712598,9.303027198534807,17.369617614905422,24.85072320774802,1,2,1,1,3,1,2,1,1
11,11,19.51046900607562,15.149727116815445,6.70504481654986,0.7950309197996287,166.59106566001125,154.59733409515894,12.68319896482248,-4.117417622738685,26.397301598874122,9.534871657134232,16.90853097263718,24.84703297646689,1,2,1,1,3,1,2,1,1
12,12,19.46276092591167,15.622975010968572,6.774158588090253,0.84788498125495,166.03254248612933,154.30573389509667,12.952089175014692,-3.8556991045247173,26.440901258808253,9.61397468814718,17.31771325477203,24.894808726983094,1,2,1,1,3,1,2,1,1
13,13,19.328791915950468,16.001221587734143,6.7395745431174,0.8929872331543174,165.685090205674,153.83473677107423,13.129245400360418,-3.6296419369566024,26.452074628896355,9.636259568389335,16.877977712462297,24.95867509477295,1,2,1,1,3,1,2,1,1
14,14,19.349819294701053,16.23506623592018,6.739775074467548,0.9695757447730827,165.57661059998992,153.67426252920808,13.204410665724879,-3.658896433818228,26.46550734711579,9.527778960743063,16.464955805718034,25.08305707263711,1,2,1,1,3,1,2,1,1
15,15,19.285183542934977,16.3278921156292,6.723591181647833,0.8382538851372179,165.33619447746915,153.45671118112614,13.200652283796018,-3.7111247518606945,26.055414710182845,9.37210034407471,15.711004325540614,25.009964502061763,1,2,1,1,3,1,2,1,1
16,16,19.20834003318784,16.39646755559372,6.798307579405152,0.8870705018779232,164.95696723851998,153.23288938412855,13.437709435747536,-3.822105718003968,26.13428188733846,9.316327305657524,15.127922679784632,25.08386109898575,1,2,1,1,3,1,2,1,1
17,17,19.118408738242664,16.497330683892763,6.783466333196893,0.8226782899669983,164.7720047041964,153.09991856627963,13.439668398605448,-3.8386914187030925,26.431358916378684,9.203746674253239,14.705027488796617,25.035417366969938,1,2,1,1,3,1,2,1,1
18,18,19.146060948628907,16.495058081947988,6.805329214728539,0.7991877810508197,164.59334601558385,152.9913713454114,13.231680516549005,-3.877474841106647,26.453088160996145,8.888430202457755,14.366434245661935,24.9806800031873,1,2,1,1,3,1,2,1,1
19,19,19.198879691409363,16.526515721201044,6.86502324553451,0.8086080413784295,164.5086454303439,152.8418725134732,13.057430208341003,-3.6355759855400436,26.469258396421026,8.767365412618801,13.264436417485058,24.912064714111864,1,2,1,1,3,1,2,1,1
20,20,18.970538847782706,16.753964103455438,6.965831462428535,0.8592526152648748,163.73558821767085,152.6437448184628,12.846466358635212,-3.6735300063647287,26.31582309356361,8.835982645907961,12.032740987426166,24.850763907386,1,2,1,1,3,1,2,1,1
