,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,19.270032776408346,12.500155538700614,7.345869883073273,6.49219350961543,146.88577355078237,131.89028986731844,12.719734507975517,-3.8575195512018183,41.625221519685226,70.7328805242522,0.0,19.9254115045615,1,2,1,1,2,3,4,1,3
1,1,18.194809396932524,13.631302960950013,6.326313182516742,6.909561640092838,141.91649467564008,133.58234608875298,12.471498420881403,-3.016405152788053,48.96525906658405,72.99672142637569,1.9705919290308884,18.995819129611185,1,2,1,1,2,3,4,1,3
2,2,19.253272873555506,14.972263742232416,7.14102406942325,11.010850337944301,134.00259034600677,132.170123170656,15.24494133520119,-9.105420890381652,38.752866955704775,57.95453963466301,3.37176597487732,21.38834554749751,1,2,2,1,3,2,4,2,4
3,3,18.119383928261836,16.75909072203852,5.075399978323209,14.632900688656461,124.53963173271958,129.2538657878259,14.547039986919685,-2.6786680137722385,44.83490615894897,52.84127920418415,3.2769948766549675,20.64890916913133,1,2,1,1,3,2,4,1,3
4,4,15.448954912953543,16.859315120342625,6.558449618052589,15.583016789349157,112.11463696947713,117.56289035701107,15.25895286260831,2.6292819700237544,45.04514134680659,44.78421977655654,0.7315337131097976,19.21627624155887,1,2,2,1,2,2,3,2,3
5,5,13.832810119095996,18.319877333521838,7.086175840745668,13.549431022205127,92.05481302530616,100.26321528748873,15.433504270371287,-4.125098966745753,36.26584912173581,28.85996051318247,-0.17363305463567258,19.058066751422412,1,1,2,2,2,2,4,2,4
6,6,12.666328355726252,18.87587619867323,2.886195886393188,9.229044342963206,71.78631390723221,83.11935567795277,8.33208946168972,-5.726446562231843,32.600802706635506,16.95987558540571,1.7064205773605892,18.156577857427617,1,1,1,1,2,2,3,1,2
7,7,11.49706057441406,17.212597929140426,7.273592429788431,1.6579469965822586,63.45200242869423,79.37822034222488,2.497499962577166,6.471601157245459,31.049305865530926,12.302601893594357,2.8210004147832706,17.106719852236026,1,1,1,1,2,2,3,1,2
8,8,11.08006347049244,13.560080031022396,14.798090466373369,3.694848395439731,60.12286352802144,83.70549405874151,4.807311240364498,7.392452355157815,29.263263746019277,9.230014884808128,4.796104058043795,16.405027988600448,1,1,1,1,2,1,2,1,1
9,9,11.908027736362579,14.176196930345332,14.903998318783003,1.4370684630727593,53.032388702373055,86.94366349452659,4.188803418996741,1.7456958437091146,28.172604769160472,7.753386925589325,7.241595200270353,13.577342581291175,1,1,1,1,2,1,2,1,1
