,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,19.313825868968426,15.057237160689477,9.367026612724413,20.115983783805877,155.31563654750286,144.50059907677883,6.651823614122264,4.285613622928025,39.57523013684735,13.212095153017572,0.0,22.35881441656773,2,2,1,1,3,2,4,2,4
1,1,18.152038211882953,13.8048972599906,11.105384534265525,19.42284041712761,156.75118441451804,146.66483644843365,5.7869179656975405,3.9420310036951207,41.14273291447853,15.575287534008709,-1.315267067030419,22.903431014720603,1,2,1,2,3,2,5,1,4
2,2,17.274827372050204,12.927077192672373,10.20180817575644,19.215062486940234,157.49421502893804,146.36845273886786,6.212943435049937,2.5982620582614686,39.35848066527379,16.67093789914196,-1.1495575231292605,22.35739645326127,1,2,1,2,3,2,5,1,4
3,3,14.81412998401131,12.918619702279898,9.01568489397687,18.266926933802484,157.87997308344217,147.1666458943725,7.645331328165241,1.8592844712844112,36.004052330519755,17.3032641452221,0.3058813057988914,21.220276332823698,1,2,1,1,3,2,4,1,3
4,4,14.44579130204543,13.28815111862561,8.82898708457192,17.73370513396223,158.25379758657297,147.01370801025388,8.183565238929276,2.4043647452741936,34.330742194187025,18.353749920693446,0.4301738997164932,21.11457635219232,1,2,1,1,3,2,4,1,3
5,5,14.630086254952795,14.05891290862841,8.518395313543481,17.743281153352576,158.30202603020433,146.77345108790064,7.865653612373222,2.7201594677421213,33.932836179346765,26.924093816260722,1.211373346340963,20.500741180812618,1,2,1,1,3,2,4,1,3
6,6,14.644782447409968,14.460976599990925,8.655174078188157,17.609979572863296,157.7034534348128,146.96933655173314,6.9327951511411925,2.7745050510122553,34.6313772380785,28.60754407838823,0.954950854857799,20.602088968425512,1,2,1,1,3,2,4,1,3
7,7,16.408001984512467,14.160773814583004,9.7026029975041,18.16346649350978,158.23902436337087,146.27536709092965,7.037107538948561,3.1283230551869394,36.97039160979185,22.13773768239693,0.24341854181054146,21.709890067727002,1,2,1,1,3,2,4,1,3
8,8,18.69565829120238,14.047428379834583,10.663002640867617,19.27412650471441,159.08954131477333,144.54369511176344,7.221310543661559,3.847166203750106,38.32209448544609,22.914906564132025,-0.7853397810861225,22.08161678480819,1,2,1,2,3,2,5,1,4
9,9,18.902423849927786,13.960577934865947,12.168875948171141,20.43360974905549,159.41204190446902,143.3597929491931,6.702918099906498,3.6728170396883684,38.80489537344482,24.0487300224122,-1.1089472138338863,22.007869412963643,2,2,1,2,3,2,5,2,4
10,10,19.712399528381628,13.804659266047402,12.546133583397767,20.194221736948883,159.60450707583013,143.02613353764204,6.325885705595397,5.537199942090751,39.60991395296671,24.168990630168565,-0.4550076761478863,22.11218938343609,2,2,1,2,3,2,5,2,4
11,11,22.03518501085886,13.70563495260584,15.816189900669604,19.206304623080538,160.13483473488424,144.86031542286187,5.048827684413766,4.523607322312728,43.25338272324285,29.572766603329683,-1.2785661517785627,23.107090053364537,2,2,1,2,3,2,5,2,4
12,12,23.41629760215578,13.454569476893974,15.590143684350497,17.41462314324662,160.3982593707235,144.96794824993677,6.107439645275804,3.807973410059958,43.15058879947827,33.32876237437091,-1.7626194198250005,24.221054202078093,2,2,1,2,3,2,5,2,4
13,13,24.155718976770693,13.87077614209446,14.993189937704395,16.18210419177307,158.8261985846607,145.05880111504055,4.997127379101528,3.0739845702811692,45.419483858527,43.491118908069325,-1.6585050625662348,24.866008446143717,2,2,1,2,3,2,5,2,4
14,14,24.779629539587432,13.820117878480215,15.151929660996286,15.409591777683971,158.0202001205749,145.19053949139206,4.792327630433675,1.7224675577178061,46.68496073537054,54.06847786254768,-1.9551516454592672,25.79460163835978,2,2,1,2,3,2,5,2,4
15,15,25.133693490435583,14.195823328465348,15.300098065301185,15.234390685004728,156.89007019908533,145.6394333503788,4.920784497893521,1.3486845928948128,48.8762118087584,57.28854034340347,-2.6030509647746385,25.926593705905233,2,2,1,2,3,2,5,2,4
16,16,25.491693905037877,12.950551903905327,15.269365597020135,15.057097071942348,156.73382769874206,145.62630150188855,3.7644802019331394,1.6068321325053319,49.12527516439923,67.46174245067004,-2.7924397438773667,26.06159272358962,2,2,1,2,3,3,6,2,6
17,17,25.265780683770846,13.456146371238384,12.700091681786038,14.133903910892379,156.82886516185374,146.76004847106555,3.8322608077654934,2.4967466932644697,57.487735192355174,68.16892347160913,-3.5010439464992658,24.76006538037318,2,2,1,2,3,3,6,2,6
18,18,22.01117627696463,13.463318475058493,10.839033093753828,13.524779141898785,156.24510977349505,147.713591809505,5.363275933654478,2.8457728850943056,55.148301451290564,65.46287636016915,-4.037484375980654,22.545605036973406,2,2,1,2,3,3,6,2,6
19,19,18.52490875646169,13.144536279131202,8.16531959230286,12.60304198701089,155.05476068269186,146.64647053310995,7.304576211587886,3.7511619986560163,57.05839770667018,66.97969934259658,-1.5686942378224842,19.584807117038046,1,2,1,2,2,3,5,1,4
20,20,16.51060929866546,13.305750571299765,6.2503808661549805,12.344197153527844,154.07683525651166,146.6978443368864,7.240148098443655,3.1977057848585275,67.0494008180363,63.616997351800435,0.39901912894075053,17.108414982637065,1,2,1,1,2,3,4,1,3
21,21,16.448013533885934,12.935990007341655,5.84321747448894,12.362013899556509,152.46775327762032,146.43093483602755,7.1851756743288036,-0.3668080799512552,64.77781459097329,46.86806115463034,1.5991159495219733,17.295288414322833,1,2,1,1,2,3,4,1,3
22,22,15.873198972022866,12.930354509763465,4.742134936969191,12.281045354745006,151.53121643816675,146.6714732165521,5.99928902667267,-2.1110545952655286,63.630390721973214,33.431988068210586,2.4932398666916242,16.652401941289124,1,2,1,1,2,3,4,1,3
23,23,15.39046427925536,12.939407509414194,4.007565823065046,12.434330278601681,147.7450276970357,145.1101092520626,5.329545065593237,-1.395829880820827,55.635275207319566,24.83080465735287,4.473200337552925,15.688752599774396,1,2,1,1,2,2,3,1,2
24,24,15.766472383357833,12.83293808616154,4.43788551914482,11.785014836299109,144.38385544306382,145.02807558035366,3.4952669553205453,-0.7303383441449398,50.17606444167936,17.951262221500826,4.546873879738001,15.624758557203211,1,2,1,1,2,2,3,1,2
