,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,11.253982838103854,7.487461482461923,17.801328447680486,8.393611152306761,146.197235275031,151.8503745411403,-1.9877039351469534,1.8164117144278862,23.331190586671426,16.755459550260923,0.0,22.368917372414476,1,2,1,1,3,1,2,1,1
1,1,11.30565291132491,6.155293312626027,18.21726350644706,7.408242897983781,146.45237195290917,153.1825498730614,-2.697729880993677,1.7524151075890586,24.833370094977795,19.571026402608965,-0.7402975800338822,22.69788218271849,1,2,1,2,3,1,4,1,3
2,2,11.147199960206866,5.288234386855368,18.03018027139875,6.606291078893329,146.55572407319787,153.69790463670336,-3.05070425206722,1.2203916555010608,25.986479344826677,19.884495852838143,-0.7941261813369067,22.702803200892735,1,2,1,2,3,1,4,1,3
3,3,11.15730436518547,4.623062526642564,18.139636775382108,6.359372316247844,146.55996331429967,153.9329026787872,-3.1184859004683574,1.4825920334472755,26.485841861140358,18.760686958285675,-0.2883358682712469,23.04811927606508,1,2,1,2,3,1,4,1,3
4,4,11.649762035489445,4.526239318101927,18.307868754666185,5.845713715596046,146.9458514300544,154.65884552072117,-3.192168059925905,1.4427646976894266,26.070413692966838,18.261645251004353,-0.30380469595192494,23.46830845044971,1,2,1,2,3,1,4,1,3
5,5,12.149763260872842,5.4345294615996105,18.18457385064701,5.522786062361634,147.44371728587993,155.06286750867775,-3.1362437300856527,1.360259539742458,25.97833070594109,18.242250566150886,-0.43552421463957103,23.380296398343777,1,2,1,2,3,1,4,1,3
6,6,12.596015670341137,5.485914064654148,18.149491876098452,5.5497623374609715,147.76842128478071,155.06739017097263,-3.2446933907636435,1.313820346780716,25.50606777591662,18.353808561659577,-0.8972403899745416,23.58121600020286,1,2,1,2,3,1,4,1,3
7,7,13.297210156824034,5.8071112564607015,18.215174359485346,5.416617362558456,148.3430861690242,155.10131424870002,-3.3735263225871677,0.8938927194214159,25.930985328184136,18.377417366949942,-0.4859682108944412,23.97550157419473,1,2,1,2,3,1,4,1,3
8,8,14.155537416831047,6.0717888366497235,18.83491531915522,4.602191777757301,148.78435543313296,155.70598607114653,-3.389184713855485,1.1220718089484194,26.035112436870946,18.408405698640905,-0.7733871599791371,24.5920349607545,1,2,1,2,3,1,4,1,3
9,9,13.76113344374022,6.692687546255176,18.031717025372895,4.510719035013098,148.24059981053108,155.09280158938185,-3.572288087756448,1.1950815402108503,25.739027058061595,18.416607308689834,-1.5921805788451309,23.949563224495055,1,2,1,2,3,1,4,1,3
10,10,13.823230599276958,6.761273228314237,18.593587394504407,4.167106916925784,148.12248704764127,155.54565528085624,-3.2027424876955592,1.3064629952469886,25.68668698116238,18.615869714251716,-1.5974262026919064,24.293960753528307,1,2,1,2,3,1,4,1,3
11,11,13.329893556884436,6.881377661947969,18.27683409784739,4.11631212827103,147.77518544539683,155.4028251502722,-2.989665074714509,1.2223246428874859,25.457212881466717,18.63689036028839,-2.1604042410350814,23.919288021598458,1,2,1,2,3,1,4,1,3
12,12,12.766615591896379,7.248841220858684,17.61056188827858,4.231207589141577,147.2702499656722,154.99397021224308,-2.9650517119103768,1.1385281158860892,25.46804860949686,18.80083533975713,-1.7758113534561915,23.38425775048317,1,2,1,2,3,1,4,1,3
13,13,12.508759359442614,7.3242040267581325,17.84959821887371,4.19630018200123,146.79172804213343,155.24449163474918,-2.8189339132491398,1.5054823507247193,25.41956235943428,19.188824426461423,-1.815921093916245,23.489777923452507,1,2,1,2,3,1,4,1,3
14,14,12.016118033851543,7.62504916845866,18.232759490169226,4.320272889252372,146.36249663315857,155.69774206647355,-2.586419733404057,2.0838736742779815,25.0397141456788,19.06719081665895,-1.6014257397768006,23.386614004674037,1,2,1,2,3,1,4,1,3
15,15,12.175587756151558,7.780752375932477,18.503906561138198,4.248002407606647,146.3378263805298,155.77349444522943,-2.53351760332464,2.07749956496491,24.681232710630496,18.149928721930138,-1.720881200161898,23.574684469421182,1,2,1,2,3,1,4,1,3
16,16,13.660863411200204,7.987410624727835,19.04909339454218,4.1310755250177,147.47429426701055,155.47328255676663,-2.43376483834399,1.512767238348232,24.667162680270962,18.496707445979325,-1.93310423804391,24.356294767555482,1,2,1,2,3,1,4,1,3
