,frame_id,frame_of_max_peak,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
0,4,9,6,Medium Risk,576,179,-0.3209809362888336,1.0,504,256,-0.22466807067394257,1.0,497,367,-0.29494842886924744,1.0,582,388,-0.4019101560115814,0.99,614,237,-0.04563523456454277,1.0,656,300,-0.04265490919351578,0.91,703,325,-0.2378498762845993,0.93,552,408,-0.06442268192768097,1.0,638,456,-0.33487021923065186,1.0,645,623,-0.23308749496936798,0.99,621,389,0.06433353573083878,1.0,754,417,-0.11291772127151489,0.97,742,594,-0.0035505134146660566,0.95,6,2,6,3,3,2,1,2,2,22.8307308068094,-1.1891412923218638,79.42520007936326,76.22172946548469,6.999355623376033,-3.7715559639341905,116.85922774483448,117.85730806202889,18.900229846251754,22.05087817992134,16.96052235175059,35.73515948958231,4
1,5,9,6,Medium Risk,576,179,-0.3099978566169739,1.0,503,256,-0.2199714630842209,1.0,497,367,-0.28098630905151367,1.0,581,389,-0.3983718156814575,0.99,614,237,-0.04526986926794052,1.0,655,299,-0.03755396604537964,0.91,703,325,-0.2293439358472824,0.94,553,407,-0.06164296343922615,1.0,637,455,-0.3364223837852478,1.0,645,623,-0.23726508021354675,0.99,622,388,0.06156713515520096,1.0,754,416,-0.11386935412883759,0.97,742,594,-0.011436323635280132,0.96,6,2,6,3,3,2,1,2,2,22.88037088570684,-0.15182643016348152,78.59346142373181,75.25429286352161,6.847978055821244,-3.939925928666895,117.15685646179054,117.39219323983288,17.777044848270634,22.199878865532394,17.487282910751418,35.166516432794175,5
2,6,9,4,Medium Risk,576,179,-0.3097551763057709,1.0,503,257,-0.21639423072338104,1.0,497,367,-0.2737526595592499,1.0,580,390,-0.39442700147628784,0.99,614,237,-0.043913550674915314,1.0,655,299,-0.038948290050029755,0.91,703,325,-0.23907585442066193,0.94,554,407,-0.06044220179319382,1.0,637,455,-0.33714988827705383,1.0,646,623,-0.24457915127277374,0.99,623,388,0.0603649728000164,1.0,754,416,-0.11707322299480438,0.97,742,593,-0.01506357453763485,0.96,4,2,5,3,3,1,1,2,2,22.94632152297469,0.20610965400456394,78.13397047262333,75.34931591582635,7.454675735614359,-3.8794650902233343,118.2687303185104,117.52984345745264,17.103215266062488,23.693270842345832,17.87964085785647,34.7496330464055,6
3,7,9,4,Medium Risk,576,179,-0.30983927845954895,1.0,503,257,-0.21655742824077606,1.0,497,367,-0.27656716108322144,1.0,580,390,-0.3949786424636841,0.99,614,237,-0.04326307028532028,1.0,655,299,-0.04191110283136368,0.91,703,325,-0.23964396119117737,0.94,555,407,-0.06080535054206848,1.0,637,455,-0.34694305062294006,1.0,648,623,-0.24751241505146027,0.99,623,388,0.06072940677404404,1.0,754,416,-0.1176312193274498,0.97,742,593,-0.014458663761615753,0.96,4,2,5,3,3,1,1,2,2,22.928202653779284,0.012773461575989131,78.03233872297812,76.18711700769478,7.242467772242605,-3.9695190573616514,118.83749423788562,117.0595689744994,16.39229421167767,24.873657055483264,18.56807290765102,35.049474288075075,7
4,8,9,4,Medium Risk,576,179,-0.31189587712287903,1.0,503,258,-0.2197941541671753,1.0,497,367,-0.2853353023529053,1.0,580,390,-0.4068785309791565,1.0,614,237,-0.042479947209358215,1.0,655,299,-0.044401489198207855,0.91,703,325,-0.24306344985961914,0.94,555,407,-0.06112205237150192,1.0,637,455,-0.36053651571273804,1.0,648,623,-0.26970046758651733,0.99,622,388,0.06105033680796623,1.0,755,416,-0.11786966025829315,0.97,742,594,-0.01647816225886345,0.96,4,2,5,3,3,1,1,2,2,22.887208460968903,0.10660147838717648,77.71161087873536,76.01944552700475,7.343022976420912,-4.112517091062358,118.81949706141535,117.29773926869812,15.961226859228772,24.92890821047451,18.857172832090605,35.6658484465777,8
5,9,9,6,Medium Risk,576,178,-0.2981176972389221,1.0,503,258,-0.21266984939575195,1.0,496,367,-0.2791341245174408,1.0,579,390,-0.40309280157089233,1.0,614,237,-0.03098437748849392,1.0,655,299,-0.02560553513467312,0.91,703,325,-0.21446295082569122,0.94,555,408,-0.06142883747816086,1.0,637,455,-0.3564711809158325,1.0,648,623,-0.26746895909309387,0.99,622,389,0.061355967074632645,1.0,755,416,-0.11468366533517838,0.97,742,594,-0.0168529711663723,0.96,6,2,6,3,3,2,1,2,2,22.64329498125063,-0.054740235943825155,77.86975377914767,76.57223530211562,7.935163739927589,-3.711836616822353,117.81185443724797,117.74015366126658,16.001538832678587,23.36908736505893,18.920146165102985,35.43310522832784,9
6,10,9,5,Medium Risk,577,178,-0.26273787021636963,1.0,503,257,-0.18962842226028442,1.0,496,365,-0.2578526437282562,1.0,578,389,-0.37689241766929626,1.0,614,237,-0.009069009684026241,1.0,655,299,-0.009351520799100399,0.91,703,325,-0.19933074712753296,0.94,555,408,-0.06134706735610962,1.0,637,455,-0.3553289771080017,1.0,647,623,-0.27377748489379883,0.99,622,389,0.061268456280231476,1.0,755,416,-0.11585833877325058,0.97,742,594,-0.0314694382250309,0.96,5,4,5,3,3,1,1,2,3,20.84706554266111,0.6235150413286306,77.52657705718953,75.51643602798283,8.174585476645376,-4.0286981143534035,118.26018404633805,118.71897687969485,14.853199701485497,21.965633861360338,20.12879737022253,34.46219198377966,10
7,11,9,4,Medium Risk,577,177,-0.23748202621936798,1.0,503,257,-0.17043301463127136,1.0,495,365,-0.24509462714195251,1.0,574,388,-0.3655887842178345,1.0,614,237,0.006163078360259533,1.0,655,298,-0.0008197950082831085,0.9,703,325,-0.19363166391849518,0.94,556,408,-0.06018923968076706,1.0,636,452,-0.3539714813232422,1.0,647,623,-0.29130709171295166,0.99,623,390,0.06012551113963127,1.0,755,416,-0.12627540528774261,0.98,742,594,-0.05935509130358696,0.96,4,4,4,3,2,1,1,2,3,18.87074765934042,2.3745833359768085,76.64166731650153,73.16054537922868,8.362174437996998,-3.769513259136005,119.45612306170759,118.22721553533937,13.777338574920497,21.300315186015986,21.854105174287415,32.99600049972955,11
8,12,9,4,Medium Risk,577,177,-0.2314913272857666,1.0,503,257,-0.16690632700920105,1.0,493,365,-0.24489951133728027,1.0,571,387,-0.3690492510795593,1.0,614,237,0.013319253921508789,1.0,655,298,0.008493071421980858,0.9,702,325,-0.18536901473999023,0.94,556,408,-0.059921227395534515,1.0,636,452,-0.353116512298584,1.0,646,624,-0.29030710458755493,1.0,623,390,0.05986570194363594,1.0,755,416,-0.1292441189289093,0.98,742,595,-0.058068592101335526,0.97,4,4,4,3,2,1,1,2,3,18.178866441645642,3.6399540975521347,76.95378485185559,73.1827471813201,8.352073878351007,-2.6524936931113814,119.84820644284993,116.86125338790721,13.907620509217118,20.232528263388723,23.681994685226176,31.65372610787971,12
9,13,9,4,Medium Risk,578,177,-0.23923489451408386,1.0,502,257,-0.1679987907409668,1.0,489,365,-0.24547119438648224,1.0,568,387,-0.3721112608909607,1.0,614,237,0.006082217209041119,1.0,655,298,-0.0011196734849363565,0.9,701,325,-0.19683052599430084,0.94,556,408,-0.05966125801205635,1.0,636,451,-0.3526465892791748,1.0,644,625,-0.2912059426307678,1.0,624,391,0.059612274169921875,1.0,755,416,-0.12985199689865112,0.98,742,595,-0.05901777744293213,0.97,4,4,4,3,2,1,1,2,3,18.3602080390898,4.48461436651678,77.22690837884522,73.35216041441252,8.337856579495366,-2.346967685057791,120.22549501305089,115.08058281216074,14.114235693577827,20.568143517715292,24.625950848280386,31.215184784996843,13
