,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,30.003727848682452,8.32749187860322,36.121369488401,21.755989698075542,112.32776357398218,125.6346954571543,-2.1371590038772297,10.744410250925313,72.21137402490461,81.50013488065503,0.0,17.602640570487107,3,2,1,1,2,3,4,4,4
1,1,34.165794882966125,14.553531980041855,26.690078721575926,18.63892778541307,116.37429888855287,121.4521690117446,-5.803583822287294,10.995685235218986,74.58060458610663,80.83994027766589,-1.347917174385998,20.93161697771174,2,2,1,2,3,3,6,2,6
2,2,35.169947566604016,16.63567322013947,21.377414518038748,18.79295007580627,117.27428891157281,118.26308147076259,-4.6320633850527315,10.053482696586741,74.33074293446437,80.61449743492265,-1.0968620067418442,21.69222402640811,2,2,1,2,3,3,6,2,6
3,3,36.14898291831011,17.237012736433737,20.00872977678532,19.496345901822767,117.74999183436178,114.78320645415579,-4.280149250179932,7.934658070110402,75.43507662167319,80.28025594439043,-0.8560908714041204,22.537910374385778,2,2,1,2,3,3,6,2,6
4,4,35.73515948958231,16.96052235175059,22.05087817992134,18.900229846251754,117.85730806202889,116.85922774483448,-3.7715559639341905,6.999355623376033,76.22172946548469,79.42520007936326,-1.1891412923218638,22.8307308068094,2,2,1,2,3,3,6,2,6
5,5,35.166516432794175,17.487282910751418,22.199878865532394,17.777044848270634,117.39219323983288,117.15685646179054,-3.939925928666895,6.847978055821244,75.25429286352161,78.59346142373181,-0.15182643016348152,22.88037088570684,2,2,1,2,3,3,6,2,6
6,6,34.7496330464055,17.87964085785647,23.693270842345832,17.103215266062488,117.52984345745264,118.2687303185104,-3.8794650902233343,7.454675735614359,75.34931591582635,78.13397047262333,0.20610965400456394,22.94632152297469,2,2,1,1,3,3,5,2,4
7,7,35.049474288075075,18.56807290765102,24.873657055483264,16.39229421167767,117.0595689744994,118.83749423788562,-3.9695190573616514,7.242467772242605,76.18711700769478,78.03233872297812,0.012773461575989131,22.928202653779284,2,2,1,1,3,3,5,2,4
8,8,35.6658484465777,18.857172832090605,24.92890821047451,15.961226859228772,117.29773926869812,118.81949706141535,-4.112517091062358,7.343022976420912,76.01944552700475,77.71161087873536,0.10660147838717648,22.887208460968903,2,2,1,1,3,3,5,2,4
9,9,35.43310522832784,18.920146165102985,23.36908736505893,16.001538832678587,117.74015366126658,117.81185443724797,-3.711836616822353,7.935163739927589,76.57223530211562,77.86975377914767,-0.054740235943825155,22.64329498125063,2,2,1,2,3,3,6,2,6
