,Participant #,exp_control,video,User needs 1,User needs 2,Age,Gender,Education,Design experience,UX experience,Q138
DONE,1,exp,desk,"Place for putting bags;
Not bothering other colleages;
Lifting monitor comfortably;
Untangling cords from itself;
Untangling cords from other equipments;
Routing cords around tables;
Findingwhere to plug in the cords;
Possible backache?;
Setting up a workspace to get to work comfortably as soon as possible;
Learn how to operate the monitor;
Get an extra screen space to work effectively;
Sitting in a comfortable position, ergonomically comfortable;
Trying to get the screen to work wihtouthassle;
Setting up an office desk to get comfortable with their new workspace;
Unpacking items to set up workspace quickly;
Efficient packing of equipments from home/old workplace to the current one;
Getting used to the new space physical & emotionally;
Get everything to work together seamlessly without too much hassle;
Getting desk clean vs making it easy to connect things together;
Needs for organization & tidiness of their equipments and documents;
Potential needs for a larger workspace to accommodate when multiple physical documents are being used at once;
Getting comfortable with new colleagues;
Taking care of existing items that might needs to be moved away to accommodate their workspace (e.g. the blue buckets);","Having a clear space to navigate moving things around;
 Not having to crouch in an uncomfortable position to manage the cables;
 Having support to lift heavy objects e.g. computer case?;
 Space to not have things block other things (the ad-hoc bookshelf is in the way of the document tray -- this could make document retrieval tricky later);",26-41,Male,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I have a lot of experience,I have a lot of experience,
DONE,2,control,desk,"easier way to manipulate/connect monitor cables;
way to figure out which cables go where;
easier way to find power button on monitor/how to turn it on;
better/more stable way to store books;
better way to organize cables (so they don't get tangled on desk), no space to move mouse, etc.;
better way to store things on desk in order to promote ease of long-term organization;","to find good screen setup (i.e. monitor and laptop placement);
 easier way to access monitor outlets;",18-25,Female,"Some college, but no degree",I have some experience,I have little experience,
DONE,3,exp,vacuum,"A vacuum cleaner with a more manageable power cord;
A mechanism to pick up all loose items/furniture from the floor before vacuuming;
A clearcut map of where to vacuum;
A place to store all the objects the user picks up from the floor;
A sightly place to store the vacuum cleaner when done vacuuming;
A vacuum that has a distinct mode for hard floor surfaces;
Special shoes that don't dirty the floor as you vacuum the floor;
A hair elastic so hair doesn't get in the way while vacuuming","A more ergonomic vacuum handle/overall design;
 A less cluttered room to vacuum;",18-25,Female,"Some college, but no degree",I have some experience,I have a lot of experience,
DONE,4,control,vacuum,"a way to vacuum space with different obstacles, such as furniture, objects on the ground, and room corners;
Power source to plug vacuum cord into;
to maneuver vacuum head efficiently around obstacles;
Way to efficiently organize and wrap vacuum cord;
A way to support or let vacuum free stand without human interaction;
Cord organization so user does not have to navigate around cord or pick up cord while using the vacuum;
to pick up objects along the way;
Storage space for vacuum such that it can be kept in a stable, upright position;","Cord organization method while user is vacuuming so it does not become tangled or become another obstacle;
 Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean;
 User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal;
 Smaller / more agile vacuum head to reach tight spaces;
 Flexible vacuum stem so user can vacuum under low desks or gaps with no obstructions;
 Cord untangling method after vacuuming and after the cord has traveled along the space with the user;
 Place to clip the plug or the end of the coord so it does not become easily unravelled through the vacuum's storage;",18-25,Female,"Some college, but no degree",I have some experience,I have little experience,
DONE,5,exp,desk,"to find places to set up equipment;
help finding right buttons for their use;
help setting up display on monitor;
display, keyboard, laptop, and pc for their work;
stack of books, and pens by their side;
to make better use of desk space;","more space on desk;
 better placement of stuff around desk, such as bag;
 to place monitor on a bette position on the desk to avoid strain;
 to place box somewhere else to avoid strain while carrying objects;
 a chair that is better ergonomically for his posture;
 a better distributed working space, including the desk and mini island adjacent to it;
 to limit equipment brought or utilize equipment more efficiently;",18-25,Male,"Some college, but no degree",I have little experience,I have no experience,
DONE,6,control,desk,"a keyboard as they seem to work a lot with online media;
a monitor to access a slide deck for some class or project;
a laptop to access this digital media;
the books they place in the book organizer to access this material.;
a mouse to navigate digital media;
a lot of time to set up all these materials and additional assistance may be needed.;
They may have more items on the desk than necessary to fulfill a task and may need less.","access to the internet to be able to see the slide deck;
 access to electricity;
 a chair to work;
 books and desk organizers to be organized;
 a desk to hold the items listed above;
 a stapler and pencils if they need to work with written material;
 a pencil cup to keep pencils in one place;
 glasses to see;
 a water bottle to stay hydrated throughout the day;
 a usb adapter for his mouse;
 help with the wiring if it is too messy;",18-25,Male,"Some college, but no degree",I have some experience,I have some experience,
DONE,7,exp,vacuum,"Can move product around while using;
Intuitive to understand and use;
Can adjust the product to fit what user intends to do;
Flexible (can fit in tight spaces);
Cleans small objects;
Has place to wrap wires;
Can be stored easily in tight spaces;
Can stand on its own;
Seems not too heavy to carry around;","Should be able to use without moving around too much;
 Should be able to pick up slightly larger objects;
 Has to fit in tight spaces while in use;
 Should not get tangled with wires when in use;
 Should be able to turn on easily;
 Easy to move around;",18-25,Female,"Some college, but no degree",I have little experience,I have little experience,
DONE,8,control,vacuum,"Better storage system of chord;
Chord requires too much up/down movement to unravel;
Bottom of vacuum should be easier to put flush against ground;
some better way of making sure chord doesn't interfere with vacuum;
a way to move objects on ground rather than picking them up to save effort;
a way to be able to move obstructions other than small items on ground (table, boxes);
Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height;
a place to put lose items that have been collected;
The vacuum is very heavy at the top, making it harder to keep it stationary when unraveling or raveling the chords;
a cleaner workspace, as the vacuuming could have been simplified much more;
storage such as shelves to keep items off the floor;
storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier;
Working with the chord took a large majority of the time spent vacuuming. If time is important to the user, the user may need a different type of chord that takes less time to manage.;","a better storage system for vacuum;
 Looks like it can easily fall based on the mass distribution within the vacuum;
 a way to not step on the wire;
 The vacuum itself looks heavy, it may be in their best interests to use a lighter one;
 May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk;
 a way to keep the vacuum upright and standing on its own when wrapping the chord;
 a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around;
 a design that doesn't force her to bend her back as much;
 The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times;
 a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion;
 to mesh better with her body and overall be more light;
 Could be shorter and more compact, that might allow for more ease of movement;
 Or may need an height-adjustable vacuum instead for ease of movement;",18-25,Female,"Some college, but no degree",I have some experience,I have little experience,
DONE,9,exp,desk,"an ergonomic computer workstation;
a PC that can be used independently;
to use the monitor as a second screen for an external laptop;
The workstation should have accessible outlets and cable ports for all components;
All equipment necessary should be easy for the user to move and set up;
cable organization;
easily accessible electrical outlets;
lifting support to pick up items on floor;
table-level electrical outlet;
backpack storage;
laptop dock;
laptop stand;
mouse;
ergonomic keyboard;
usb cable hub;
chair mat to protect floor;
monitor stand;
separate bookshelf;
monitor;
paper;
books;
writing utensils;
accessible ports on computer;","A clear floor around the workstation;
 Long cables accessible in a neutral sitting or standing position;
 A wide desk that can accommodate both the computer set-up and any necessary writing, reading, etc.;
 Storage for up to a dozen books that doesn't impede computer use;
 Writing utensil storage accessible in a neutral sitting or standing position without leaning;
 Ergonomic mousepad;
 Laptop stand that raises screen to eye-level;
 Adjustable monitor stand;",18-25,Female,Bachelor’s degree,I have a lot of experience,I have some experience,
DONE,11,exp,vacuum,"retracting cord reel;
battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered;
removable bin to store small things you pick up off the floor that you can't vacuum up;
the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;","low tension continuous retracting cord reel which is optimized across the complete cord length, i.e. in problem point 8 her hands are full and she needs to manage the cable - if it continuously managed tension to prevent too much cable from being let out, while letting the user complete retract the cable at the end with a higher tension reel, this problem would be addressed;",18-25,Male,Bachelor’s degree,I have a lot of experience,I have some experience,
