,Group 1a,Group 1b,Group 1c,Group 1d,Group 2a,Group 2b,Group 2c,Group 2d,Group 3a,Group 3b,Group 3c,Group 3d
0,Looped back over the excess cable on the floor,Was the vacuum the best tool for the users need of cleaning?,Chord requires too much up/down movement to unravel,"May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk","Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners",Can stand on its own,Bottom of vacuum should be easier to put flush against ground,lightweight,More efficient way to unwrap and rewrap the cord on the vacuum,to clean with relatively little bending over.,"a way to be able to move obstructions other than small items on ground (table, boxes)","The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times"
1,Large furniture acting as a physical barrier - can it be moved to make the task easier?,Unsure how to secure the end of the cable,lightweight,A vacuum cleaner with a more manageable power cord,"User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal",retracting cord reel,large capacity/ability to vacuum large space at once,"Could be shorter and more compact, that might allow for more ease of movement",help moving large items off the floor to vacuum under them,removing items off the ground,to be able to clean with relatively little torque on their wrist (i.e. not get into a wrist lock),lightweight
2,Better storage system of chord,Somewhere to place the different objects that she is picking up off the floor,Presumably minimize noise,easier way to plug vacuum into the wall,untangling the cord,Outlet placement compared to the size of the room,Chord requires too much up/down movement to unravel,"Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height","Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height","generally not having to support the vacuum when it is not in use (some way to ""park"" it);",Has place to wrap wires,to be able to reach all locations on the floor
3,The room is very cluttered making it difficult for the user to navigate the space,easy to lift up and reposition,to clean the floor in as little time as possible;,ability to see where you have vacuumed,Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;,"There are lots of larger objects in the way during vacuuming, like bins and boxes","generally not having to support the vacuum when it is not in use (some way to ""park"" it);",a method for powering the vacuum cleaner or cleaning device,The table near the outlet needs to be removed,Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;,Way to help the user identify dirty parts of the surface,easier mobility of the vacuum head
4,Lightweight;,"The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times",Unwrapped the entire cable from the start,basket attachment to place larger items instead of carrying them by hand,help moving large items off the floor to vacuum under them,needs someone to help her move the furniture around so she can adequately clean the space,easily maeurverable by hand,a better storage system for vacuum,easily maeurverable by hand,Have to bend down to clean larger objects like socks,Easier access to electrical outlet,a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around
5,Stable storage (ie does not tip or roll),some better way of making sure chord doesn't interfere with vacuum,Storage space is very crowded making it hard for the user to access the outlet and the vacuum,A place to store all the objects the user picks up from the floor,Way to efficiently organize and wrap vacuum cord,Have to bend down to clean larger objects like socks,A mechanism to pick up all loose items/furniture from the floor before vacuuming,Smaller / more agile vacuum head to reach tight spaces,"Vacuum angle is locked in position at the start, must use foot to unlock",something to keep the cord from getting caught when she is vacuuming and moving back/forth,Smaller / more agile vacuum head to reach tight spaces,Unsure how to secure the end of the cable
6,to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning,"There are lots of larger objects in the way during vacuuming, like bins and boxes",removable bin to store small things you pick up off the floor that you can't vacuum up,A more ergonomic vacuum handle/overall design,storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier,Ability to clean multiple surfaces,"Vacuum does not turn super easily, user has to drag it in the direction they desire at certain points",Intuitive controls,Can stand on its own,to be able to clean the floor while mostly standing,A mechanism to pick up all loose items/furniture from the floor before vacuuming,to clean the floor in as little time as possible;
7,large range of motion from given user position (ie user can vacuum large area without moving),Cord untangling method after vacuuming and after the cord has traveled along the space with the user,The product should be able to maneuver easily around and below furniture and objects on the floor,Can stand on its own,"Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean",to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning,A way to support or let vacuum free stand without human interaction,Was the vacuum the best tool for the users need of cleaning?,Cleans small objects,Chord requires too much up/down movement to unravel,more desk space to place socks picked up off the ground,to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning
8,Intuitive controls,removing items off the ground,height of components that user must interact with physically are comfortable,ideally will only need to use 1 hand in order to clean the floor,"a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion",The room is very cluttered making it difficult for the user to navigate the space,to have the cleaning device take up as little space as possible when stored,A less cluttered room to vacuum;,Flexible (can fit in tight spaces),Unwrapped the entire cable from the start,ideally will only need to use 1 hand in order to clean the floor,Clog detection/warning;
9,cord is secure as stored and does not come undone;,"Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners",ergonomic cord storage (ie not uncomfortable to plug in cord or return to storage),Easier way to unwrap and rewrap the vacuum cord,Help with holding up the vacuum on their own,Intuitive to understand and use,easier chord management system,to stand/sit in a comfortable position while cleaning,"There are lots of larger objects in the way during vacuuming, like bins and boxes",Help with holding up the vacuum on their own,easy to lift up and reposition,"The vacuum does not stand on its own, the user has to prop / hold it up while wrapping the wire"
